,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",308.80(38.59),55.25(5.59),57.56(5.71),54.73(6.02),54.69(4.14),4.45(0.13)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",309.60(25.30),55.13(3.67),55.79(3.95),52.49(4.15),54.46(2.94),4.41(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",295.20(10.66),57.22(1.55),59.73(2.15),56.07(3.42),55.22(2.05),4.36(0.11)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",294.00(11.58),57.39(1.68),58.22(3.44),54.83(3.37),55.77(1.88),4.33(0.11)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",300.60(11.91),56.43(1.73),56.41(2.40),51.26(4.95),53.04(2.88),4.32(0.05)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",305.80(23.76),55.68(3.44),56.34(4.16),52.76(4.02),53.70(2.17),4.30(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",300.00(15.48),56.52(2.24),51.57(3.39),48.81(4.32),52.49(2.44),4.28(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",303.00(17.96),56.09(2.60),51.50(3.71),47.62(4.54),52.01(3.04),4.96(0.34)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",311.20(8.58),54.90(1.24),50.64(3.80),45.87(2.41),50.98(1.10),4.59(0.14)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",308.60(4.62),55.28(0.67),48.88(3.14),45.84(2.55),50.70(0.94),4.45(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",341.60(16.96),50.49(2.46),47.64(1.52),42.42(1.47),48.58(0.93),4.73(0.40)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",319.60(12.20),53.68(1.77),48.40(1.63),43.75(1.76),49.47(0.92),4.56(0.12)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",318.20(19.72),53.88(2.86),50.27(3.80),46.38(2.97),51.41(2.33),4.66(0.17)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 14, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",317.20(14.81),54.03(2.15),47.06(2.62),42.81(2.46),49.57(2.23),4.28(0.37)
