,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",78.00(32.11),90.08(4.09),90.95(3.36),46.17(7.10),83.72(5.48),35.72(4.56)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",68.00(17.93),91.35(2.28),88.26(10.67),50.35(7.95),76.07(15.78),35.82(4.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",106.60(22.10),86.44(2.81),82.05(9.28),30.82(6.13),49.04(0.93),37.29(2.33)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",80.20(16.66),89.80(2.12),89.37(3.14),40.35(8.52),64.80(20.77),41.35(1.11)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",96.40(9.26),87.74(1.18),86.42(3.38),37.40(5.48),58.54(13.98),40.20(1.89)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",108.20(54.16),86.23(6.89),79.25(15.28),33.98(17.26),61.37(16.99),41.67(1.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",121.20(49.61),84.58(6.31),76.18(25.52),33.51(11.91),60.74(15.23),37.86(3.47)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",231.20(239.96),70.59(30.53),63.49(32.24),25.33(15.29),52.58(7.51),39.54(1.41)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",94.80(18.01),87.94(2.29),88.71(1.03),35.59(3.81),49.37(1.29),38.85(3.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",109.20(31.67),86.11(4.03),88.29(2.98),38.51(1.90),60.38(14.32),41.73(1.04)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",87.60(1.95),88.85(0.25),80.98(18.37),31.69(12.23),49.89(0.14),36.69(4.36)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",104.40(20.70),86.72(2.63),84.56(9.57),35.28(7.20),68.06(16.73),39.45(2.13)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",88.60(4.16),88.73(0.53),79.88(20.34),32.56(13.51),56.55(14.76),42.82(0.41)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 954, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 5000}",108.60(48.30),86.18(6.15),80.64(11.94),29.82(9.15),55.12(11.60),40.66(2.15)
