,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",313.00(36.96),59.24(4.81),50.02(1.86),35.34(2.18),50.45(1.65),4.98(0.48)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",311.40(51.58),59.45(6.72),50.44(0.65),36.01(1.74),51.20(0.90),5.41(0.28)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",290.80(19.10),62.14(2.49),48.38(1.02),34.10(1.41),49.62(0.46),4.88(0.38)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",284.40(11.97),62.97(1.56),48.05(0.65),33.98(0.64),49.66(0.40),4.49(0.28)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",283.40(9.86),63.10(1.28),48.02(0.78),33.75(1.05),49.17(0.46),4.89(0.64)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",276.40(4.16),64.01(0.54),47.79(0.66),33.94(0.59),49.75(0.65),4.89(0.58)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",274.80(4.60),64.22(0.60),49.51(1.06),34.23(0.86),49.67(0.28),4.43(0.14)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",270.80(3.11),64.74(0.41),46.12(0.83),33.13(0.52),49.84(0.29),4.94(0.42)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",272.40(4.39),64.53(0.57),48.77(2.02),34.07(0.87),49.65(0.36),4.40(0.18)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",270.40(1.95),64.79(0.25),49.10(2.47),34.30(0.75),49.78(0.18),4.42(0.20)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",269.80(1.48),64.87(0.19),46.36(1.74),33.30(0.96),49.82(0.15),4.65(0.22)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",269.20(0.84),64.95(0.11),48.34(2.51),34.07(1.00),49.88(0.08),4.58(0.25)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",269.60(1.14),64.90(0.15),44.50(1.43),32.24(0.79),49.84(0.11),4.95(0.35)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 8, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",269.40(0.89),64.92(0.12),45.33(0.46),32.84(0.25),49.86(0.09),5.07(0.41)
