,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",344.60(47.32),64.07(4.93),51.31(0.44),72.42(0.78),50.37(0.77),6.12(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",345.80(42.20),63.94(4.40),52.00(0.36),72.41(0.58),51.48(1.07),6.14(0.16)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",289.80(12.79),69.78(1.33),51.80(0.29),72.46(0.39),50.79(0.40),6.06(0.06)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",289.20(11.39),69.84(1.19),52.08(0.33),72.71(0.66),51.03(0.81),6.08(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",281.80(4.32),70.62(0.45),51.91(0.34),72.47(0.42),50.85(0.46),6.11(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",281.60(3.51),70.64(0.37),52.22(0.33),72.82(0.67),51.00(0.59),6.14(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",279.80(1.30),70.82(0.14),52.11(0.29),72.66(0.52),50.32(0.42),6.06(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",279.60(3.05),70.84(0.32),52.34(0.48),72.90(0.93),50.34(0.12),6.06(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",279.40(3.65),70.87(0.38),52.58(0.39),73.03(0.50),50.03(0.28),6.07(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",278.80(2.68),70.93(0.28),52.50(0.50),73.19(1.06),50.03(0.21),6.14(0.16)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",276.80(2.68),71.14(0.28),53.23(0.48),73.73(0.69),49.98(0.22),6.14(0.13)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",279.20(3.19),70.89(0.33),52.99(0.64),73.48(0.69),49.95(0.16),6.11(0.18)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",277.20(1.48),71.09(0.15),53.82(0.21),73.70(1.45),49.97(0.17),6.11(0.12)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",278.80(3.03),70.93(0.32),53.04(0.50),73.60(0.86),50.07(0.26),6.07(0.08)
