,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",171.20(52.77),51.23(15.04),46.37(4.41),60.61(3.47),49.80(1.53),2.02(0.14)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",172.20(53.16),50.94(15.15),48.78(3.81),61.62(2.58),49.09(2.25),1.96(0.05)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",152.20(35.04),56.64(9.98),45.08(2.75),61.55(2.59),48.12(3.27),2.11(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",147.80(25.85),57.89(7.36),45.98(2.19),61.31(2.19),48.79(1.79),2.04(0.12)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",140.00(18.77),60.11(5.35),45.34(1.85),62.24(1.91),47.83(3.22),2.10(0.05)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",135.20(11.39),61.48(3.24),45.52(1.47),61.81(1.64),49.04(1.50),2.15(0.06)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",129.60(4.51),63.08(1.28),46.80(0.88),63.88(1.01),49.48(0.65),1.99(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",128.60(3.21),63.36(0.91),46.50(0.83),63.39(0.93),49.77(0.39),2.07(0.06)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",127.80(2.05),63.59(0.58),48.90(1.24),65.70(1.04),49.70(0.32),2.05(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",127.20(1.79),63.76(0.51),48.41(1.17),65.08(1.30),49.87(0.23),2.07(0.09)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",126.60(1.34),63.93(0.38),59.34(1.42),71.22(1.63),49.94(0.42),1.98(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",127.00(1.41),63.82(0.40),58.93(1.24),70.31(1.31),49.78(0.31),2.00(0.09)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",115.80(3.96),67.01(1.13),64.31(1.47),73.69(1.47),54.92(1.69),1.97(0.02)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 34, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",118.00(2.35),66.38(0.67),62.54(1.89),72.33(1.43),53.94(1.13),1.98(0.01)
