,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",548.80(1.79),49.93(0.16),51.28(6.76),50.46(5.09),49.94(0.09),6.89(0.17)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",549.40(7.09),49.87(0.65),51.14(5.21),50.81(4.59),49.88(0.63),6.98(0.06)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",544.80(2.86),50.29(0.26),54.07(6.22),53.20(5.54),50.31(0.28),6.91(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",542.40(3.78),50.51(0.35),52.89(4.94),52.55(4.99),50.52(0.34),6.90(0.06)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",528.40(15.82),51.79(1.44),56.24(5.43),55.35(5.30),51.81(1.37),6.88(0.09)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",528.00(15.07),51.82(1.37),54.55(4.33),54.03(4.86),51.84(1.30),6.95(0.05)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",422.80(47.27),61.42(4.31),66.65(5.52),65.49(5.46),61.45(4.31),6.95(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",446.00(34.33),59.31(3.13),63.70(4.85),62.59(5.43),59.33(3.12),6.90(0.11)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",351.00(24.17),67.97(2.20),75.02(2.97),73.62(3.34),67.99(2.20),6.94(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",375.00(28.33),65.78(2.58),72.50(2.86),71.27(3.49),65.80(2.58),6.94(0.13)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",325.40(14.12),70.31(1.29),77.20(1.84),75.84(1.89),70.32(1.29),6.92(0.12)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",344.40(9.13),68.58(0.83),74.50(1.20),72.99(1.96),68.59(0.83),6.92(0.05)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",365.00(19.96),66.70(1.82),69.74(3.41),66.75(5.42),66.71(1.82),6.93(0.11)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 24, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",406.80(31.61),62.88(2.88),64.74(3.57),63.83(1.21),62.89(2.89),6.90(0.07)
