,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1567.40(24.72),50.96(0.77),50.27(1.78),52.21(1.24),49.99(1.02),19.96(1.14)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1574.00(28.62),50.75(0.90),49.38(2.07),51.69(1.95),49.91(1.13),20.00(0.92)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1481.40(45.07),53.65(1.41),55.54(1.79),57.86(0.84),52.48(1.60),20.25(1.21)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1507.20(43.07),52.84(1.35),53.51(1.85),56.01(1.68),51.72(1.61),19.52(0.76)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1407.20(43.40),55.97(1.36),58.90(1.49),60.63(0.73),55.02(1.57),20.36(1.57)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1456.20(29.46),54.44(0.92),56.63(1.23),58.77(1.14),53.41(1.17),20.14(1.35)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1292.20(20.33),59.57(0.64),62.91(0.63),63.80(0.59),59.26(0.65),20.44(1.41)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1334.60(23.30),58.24(0.73),61.52(0.61),62.22(0.47),57.84(0.80),22.59(1.46)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1287.80(23.40),59.71(0.73),62.96(0.66),63.56(0.62),59.35(0.75),22.58(1.53)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1331.20(17.34),58.35(0.54),61.39(0.39),62.40(0.69),57.93(0.57),22.34(0.74)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1399.60(51.77),56.21(1.62),57.31(2.10),57.94(1.83),55.81(1.43),21.81(0.53)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1455.00(13.36),54.47(0.42),55.21(0.55),55.98(0.71),53.74(0.52),22.14(0.60)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1477.60(45.70),53.77(1.43),54.03(1.59),55.22(1.41),53.39(1.08),22.14(0.84)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 36, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",1501.80(18.94),53.01(0.59),53.18(0.60),54.39(0.63),52.37(0.54),22.44(0.74)
