,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6506.60(89.66),65.79(0.47),56.39(0.65),68.12(0.35),55.00(0.68),119.31(5.16)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6560.40(63.73),65.51(0.34),53.74(1.04),66.58(0.55),53.11(0.75),122.97(4.83)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6015.00(53.99),68.38(0.28),61.10(0.59),70.69(0.45),58.62(0.57),119.80(0.41)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6166.60(98.41),67.58(0.52),59.32(1.18),69.60(0.62),56.86(0.99),119.50(0.90)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",5912.80(70.86),68.91(0.37),62.39(0.34),71.25(0.31),59.29(0.48),116.15(1.19)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",5986.00(67.71),68.53(0.36),61.18(0.70),70.60(0.48),58.10(0.54),115.37(0.60)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6226.40(106.37),67.26(0.56),60.18(2.13),70.20(0.87),56.26(1.05),113.97(0.36)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6276.40(65.23),67.00(0.34),59.25(0.87),69.55(0.54),55.57(0.60),114.37(0.28)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6605.20(50.63),65.27(0.27),53.64(4.54),66.81(1.69),52.21(1.29),114.94(0.70)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6665.20(55.37),64.96(0.29),50.21(4.10),64.73(1.64),51.03(1.26),115.27(0.56)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6705.60(29.74),64.74(0.16),48.50(1.74),64.09(0.82),50.03(0.05),124.82(6.90)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6698.40(8.73),64.78(0.05),47.81(2.14),64.36(1.37),50.02(0.03),122.45(0.58)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6694.00(4.74),64.81(0.02),48.23(1.24),64.66(0.71),50.01(0.02),121.93(0.20)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 10, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",6694.80(5.07),64.80(0.03),48.63(0.84),64.81(0.90),50.00(0.01),121.54(0.21)
