,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1788.40(218.66),61.13(4.75),62.08(3.86),56.30(2.98),59.71(3.37),28.48(0.64)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1818.60(235.97),60.47(5.13),61.34(2.85),55.08(2.87),59.14(3.25),30.00(1.72)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1590.80(95.41),65.42(2.07),62.41(1.27),57.09(1.26),60.57(1.39),29.05(0.54)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1610.00(98.42),65.01(2.14),63.35(1.17),57.15(1.20),61.16(1.20),29.88(1.78)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1604.60(43.00),65.12(0.93),63.77(0.73),57.56(0.72),60.77(0.92),27.86(1.26)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1596.40(62.80),65.30(1.36),62.52(1.51),56.69(1.20),60.29(0.88),27.70(1.16)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1585.40(67.23),65.54(1.46),63.17(4.58),55.33(3.41),59.72(2.66),29.04(0.78)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1582.40(29.36),65.61(0.64),63.07(0.94),55.02(0.70),60.22(0.57),29.17(1.54)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1646.60(83.03),64.21(1.80),61.69(4.80),52.02(4.69),58.00(3.18),28.31(1.45)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1669.00(52.76),63.73(1.15),60.83(3.21),51.24(1.87),56.75(1.82),28.21(1.58)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1760.80(41.77),61.73(0.91),51.83(4.47),44.50(2.39),53.60(1.19),28.34(0.59)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1827.40(76.49),60.28(1.66),49.18(5.77),41.65(3.16),52.14(0.48),28.43(1.26)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1818.20(41.28),60.48(0.90),48.47(5.05),39.89(2.95),51.17(0.92),29.27(1.46)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 57, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 300}",1815.20(7.26),60.55(0.16),49.12(3.75),40.99(2.22),51.04(0.51),28.32(0.93)
