,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",321.00(22.84),74.18(1.84),48.84(0.74),75.09(0.77),50.61(0.45),7.44(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",330.60(26.50),73.40(2.13),48.68(0.57),74.68(0.32),50.12(0.80),7.22(0.27)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",304.60(7.83),75.49(0.63),48.45(0.27),74.86(0.29),50.13(0.40),7.41(0.28)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",306.60(9.29),75.33(0.75),48.39(0.24),74.64(0.12),50.07(0.46),7.41(0.27)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",301.60(5.55),75.74(0.45),48.34(0.19),74.66(0.16),49.87(0.08),7.44(0.41)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",303.20(7.26),75.61(0.58),48.34(0.17),74.64(0.18),49.88(0.19),7.45(0.40)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",297.20(1.30),76.09(0.10),47.90(0.20),73.99(0.30),49.94(0.07),7.35(0.15)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",298.00(2.35),76.03(0.19),48.01(0.14),74.15(0.15),49.89(0.12),7.58(0.17)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",296.60(0.55),76.14(0.04),47.75(0.34),73.62(0.41),49.97(0.03),7.45(0.12)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",297.00(1.41),76.11(0.11),48.01(0.14),74.06(0.17),49.95(0.07),7.45(0.18)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",296.60(0.55),76.14(0.04),48.19(0.59),73.99(0.67),49.97(0.03),7.40(0.28)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",296.40(0.55),76.15(0.04),48.50(0.17),74.54(0.30),49.98(0.03),7.61(0.17)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",296.60(0.55),76.14(0.04),48.43(0.68),74.17(0.73),49.97(0.03),7.35(0.14)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 21, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",296.40(0.55),76.15(0.04),48.74(0.13),74.75(0.37),49.98(0.03),7.36(0.20)
