,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",434.40(59.92),37.85(8.57),64.85(17.99),65.24(15.16),46.80(4.24),5.02(0.96)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",431.40(54.66),38.28(7.82),63.23(18.93),62.68(16.42),46.65(4.09),4.45(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",279.60(54.11),60.00(7.74),79.04(8.82),76.35(8.43),64.50(1.84),4.98(0.71)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",293.60(56.05),58.00(8.02),77.14(8.16),74.17(7.86),62.93(2.63),4.52(0.27)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",202.60(33.24),71.02(4.76),84.08(4.73),80.06(5.59),72.10(1.37),4.37(0.14)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",212.80(26.63),69.56(3.81),82.33(4.37),78.27(4.58),70.87(0.53),4.36(0.13)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",112.60(9.40),83.89(1.34),89.00(2.26),85.51(2.36),81.24(2.33),4.35(0.09)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",116.20(7.26),83.38(1.04),87.92(1.73),84.26(1.73),80.87(1.86),4.45(0.38)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",105.00(5.96),84.98(0.85),89.30(1.55),85.95(1.74),82.25(1.72),4.23(0.13)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",110.20(8.26),84.23(1.18),88.91(1.13),84.95(1.23),81.66(1.87),4.26(0.09)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",126.40(12.92),81.92(1.85),86.27(3.26),80.36(4.81),79.03(2.65),4.39(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",138.00(13.06),80.26(1.87),82.99(3.38),76.14(3.53),76.87(2.86),4.23(0.11)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",197.00(30.85),71.82(4.41),74.34(3.87),61.08(5.83),69.29(1.45),4.31(0.22)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 9, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 100}",184.00(12.94),73.68(1.85),76.59(1.41),63.67(2.48),69.95(2.81),4.37(0.18)
