,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",223.60(13.13),60.70(2.31),48.96(6.54),37.28(3.28),49.72(0.87),3.19(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",222.80(13.18),60.84(2.32),46.49(3.84),36.63(2.39),50.50(0.39),3.22(0.08)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",215.60(3.58),62.11(0.63),50.74(2.49),38.30(1.69),50.01(0.29),3.14(0.05)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",218.00(5.34),61.69(0.94),47.84(2.30),36.72(2.89),50.44(1.17),3.16(0.05)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",224.80(22.69),60.49(3.99),49.39(2.57),37.43(1.98),49.53(1.39),3.11(0.01)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",214.80(9.50),62.25(1.67),48.98(1.31),37.32(1.72),50.53(1.72),3.08(0.02)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",223.40(7.89),60.74(1.39),45.32(7.67),34.74(2.86),49.71(0.54),3.17(0.06)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",221.00(11.68),61.16(2.05),43.37(7.16),34.13(2.22),49.95(0.28),3.41(0.13)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",216.60(3.21),61.93(0.56),44.27(6.56),34.54(2.13),49.91(0.28),3.43(0.19)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",239.60(21.96),57.89(3.86),45.25(4.16),35.26(1.53),49.16(0.56),3.09(0.03)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",227.60(9.86),60.00(1.73),43.76(5.17),35.09(1.96),49.58(0.36),3.13(0.09)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",244.40(58.57),57.05(10.29),44.37(3.46),34.66(2.45),50.37(0.45),3.08(0.03)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",247.80(23.18),56.45(4.07),47.07(0.53),36.66(0.85),49.28(1.15),3.12(0.09)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 30, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",250.60(31.55),55.96(5.54),46.61(0.25),36.23(1.10),48.90(1.36),3.09(0.03)
