,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",62.80(13.75),68.28(6.95),49.85(0.80),23.84(1.32),48.43(2.92),1.11(0.02)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.001, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",62.60(10.16),68.38(5.13),47.46(1.29),23.39(2.91),49.38(2.18),1.09(0.00)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",51.20(3.19),74.14(1.61),50.59(3.65),23.51(1.93),49.93(1.36),1.13(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.005, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",55.00(7.58),72.22(3.83),50.22(2.49),24.06(2.95),50.43(1.86),1.25(0.10)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",50.20(3.27),74.65(1.65),51.11(2.88),23.88(2.01),49.97(2.16),1.15(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.01, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",52.60(3.78),73.43(1.91),49.36(2.19),24.17(1.77),50.78(2.39),1.27(0.07)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",49.60(2.19),74.95(1.11),50.28(4.70),23.07(1.90),49.43(0.48),1.24(0.03)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.05, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",59.00(21.35),70.20(10.78),49.01(4.00),22.87(1.96),48.81(2.47),1.24(0.03)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",49.40(2.30),75.05(1.16),46.53(4.69),22.41(1.98),49.94(0.61),1.26(0.02)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.1, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",60.40(19.74),69.49(9.97),45.20(3.55),21.66(0.91),49.37(2.11),1.16(0.12)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",50.40(2.70),74.55(1.36),47.56(5.43),23.39(2.05),50.78(1.47),1.09(0.01)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.3, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",84.00(41.59),57.58(21.00),43.85(1.69),21.90(0.62),48.15(2.22),1.08(0.01)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.3, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",60.20(24.01),69.60(12.13),45.25(3.82),22.39(0.96),49.59(1.72),1.12(0.04)
"{'max_num_hidden_layers': 6, 'qtd_neuron_per_hidden_layer': 50, 'b': 0.99, 's': 0.2, 'n': 0.5, 'dropout_p': 0.5, 'use_cuda': False, 'n_aux_feat': 33, 'batch_size': 1, 'n_classes': 2, 'n_neuron_aux_layer': 200}",87.40(41.09),55.86(20.75),42.64(1.20),22.19(1.70),48.05(2.48),1.10(0.05)
