,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",171.60(3.58),75.09(0.52),49.35(0.30),42.70(0.32),75.00(0.55),27.97(2.24)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",173.40(2.30),74.83(0.33),49.29(0.28),42.64(0.37),74.71(0.36),30.20(2.26)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",171.00(2.55),75.18(0.37),49.55(0.26),43.04(0.36),75.10(0.39),27.55(0.60)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",172.00(2.92),75.04(0.42),49.55(0.26),43.00(0.37),74.96(0.42),27.01(0.75)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",171.60(3.58),75.09(0.52),49.35(0.30),42.70(0.32),75.00(0.55),27.17(0.20)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",173.40(2.30),74.83(0.33),49.29(0.28),42.64(0.37),74.71(0.36),25.21(0.74)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",171.00(2.55),75.18(0.37),49.55(0.26),43.04(0.36),75.10(0.39),25.15(0.65)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",172.00(2.92),75.04(0.42),49.55(0.26),43.00(0.37),74.96(0.42),24.90(0.69)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",199.20(4.44),71.09(0.64),50.77(0.59),43.80(0.41),70.28(0.63),23.99(0.18)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",198.60(3.58),71.18(0.52),50.70(0.56),43.86(0.44),70.35(0.54),24.84(0.82)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",195.60(5.13),71.61(0.74),50.62(0.32),43.77(0.27),70.77(0.78),25.26(0.64)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",195.80(5.45),71.58(0.79),50.53(0.26),43.71(0.30),70.73(0.81),25.08(1.02)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",199.20(4.44),71.09(0.64),50.77(0.59),43.80(0.41),70.28(0.63),23.99(0.40)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",198.60(3.58),71.18(0.52),50.70(0.56),43.86(0.44),70.35(0.54),24.26(0.69)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",195.60(5.13),71.61(0.74),50.62(0.32),43.77(0.27),70.77(0.78),24.23(0.87)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",195.80(5.45),71.58(0.79),50.53(0.26),43.71(0.30),70.73(0.81),23.79(0.20)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",166.80(3.35),75.79(0.49),49.58(0.28),42.67(0.33),75.63(0.48),10.63(0.14)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",166.80(2.86),75.79(0.42),49.59(0.16),42.74(0.15),75.64(0.38),10.93(0.44)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",165.40(1.67),75.99(0.24),49.52(0.42),42.55(0.35),75.81(0.23),10.76(0.10)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",164.80(2.17),76.08(0.31),49.49(0.29),42.62(0.25),75.88(0.23),10.68(0.23)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",166.80(3.35),75.79(0.49),49.58(0.28),42.67(0.33),75.63(0.48),10.64(0.23)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",166.80(2.86),75.79(0.42),49.59(0.16),42.74(0.15),75.64(0.38),11.12(0.21)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",165.40(1.67),75.99(0.24),49.52(0.42),42.55(0.35),75.81(0.23),11.41(0.44)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",164.80(2.17),76.08(0.31),49.49(0.29),42.62(0.25),75.88(0.23),10.99(0.35)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",181.40(2.88),73.67(0.42),50.59(0.21),43.32(0.13),72.86(0.40),10.56(0.08)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",179.60(3.78),73.93(0.55),50.68(0.29),43.47(0.21),73.11(0.50),10.61(0.38)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",178.20(3.35),74.14(0.49),50.61(0.30),43.37(0.28),73.33(0.51),9.97(0.17)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",177.40(2.70),74.25(0.39),50.57(0.25),43.43(0.15),73.42(0.41),9.78(0.16)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",181.40(2.88),73.67(0.42),50.59(0.21),43.32(0.13),72.86(0.40),10.11(0.12)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",179.60(3.78),73.93(0.55),50.68(0.29),43.47(0.21),73.11(0.50),9.99(0.12)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",178.20(3.35),74.14(0.49),50.61(0.30),43.37(0.28),73.33(0.51),10.03(0.12)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",177.40(2.70),74.25(0.39),50.57(0.25),43.43(0.15),73.42(0.41),10.16(0.23)
