,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",158.00(2.00),77.07(0.29),46.82(0.24),40.01(0.18),76.31(0.28),38.87(0.12)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",158.00(2.00),77.07(0.29),46.82(0.24),40.01(0.18),76.31(0.28),38.88(0.24)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",161.80(3.11),76.52(0.45),46.74(0.28),39.82(0.20),75.64(0.48),38.68(0.14)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",161.80(3.11),76.52(0.45),46.74(0.28),39.82(0.20),75.64(0.48),39.02(0.14)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",157.80(3.27),77.10(0.47),47.10(0.44),40.20(0.38),76.37(0.53),257.88(2.58)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",157.80(3.27),77.10(0.47),47.10(0.44),40.20(0.38),76.37(0.53),291.71(1.74)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",163.80(3.63),76.23(0.53),46.63(0.28),39.72(0.21),75.34(0.60),292.18(2.03)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",163.80(3.63),76.23(0.53),46.63(0.28),39.72(0.21),75.34(0.60),294.77(2.48)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",157.80(3.27),77.10(0.47),46.75(0.20),39.82(0.19),76.29(0.48),19.15(0.11)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",157.80(3.27),77.10(0.47),46.75(0.20),39.82(0.19),76.29(0.48),19.05(0.16)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",160.60(1.52),76.69(0.22),46.42(0.25),39.56(0.19),75.83(0.21),19.13(0.13)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",160.60(1.52),76.69(0.22),46.42(0.25),39.56(0.19),75.83(0.21),19.17(0.23)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",157.40(1.67),77.16(0.24),46.75(0.33),39.78(0.22),76.33(0.23),120.05(0.70)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",157.40(1.67),77.16(0.24),46.75(0.33),39.78(0.22),76.33(0.23),119.58(0.15)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",158.60(2.30),76.98(0.33),46.56(0.21),39.65(0.17),76.09(0.38),118.91(0.12)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",158.60(2.30),76.98(0.33),46.56(0.21),39.65(0.17),76.09(0.38),119.57(0.23)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",181.40(3.21),73.67(0.47),49.17(0.30),41.94(0.21),72.10(0.47),44.05(0.38)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",181.40(3.21),73.67(0.47),49.17(0.30),41.94(0.21),72.10(0.47),43.88(0.28)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",181.20(4.49),73.70(0.65),48.99(0.46),41.85(0.34),72.14(0.67),44.02(0.28)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",181.20(4.49),73.70(0.65),48.99(0.46),41.85(0.34),72.14(0.67),43.93(0.42)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",181.80(3.27),73.61(0.47),49.35(0.26),42.11(0.14),72.05(0.48),287.16(0.90)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",181.80(3.27),73.61(0.47),49.35(0.26),42.11(0.14),72.05(0.48),285.19(1.49)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",180.00(2.12),73.88(0.31),49.20(0.35),41.93(0.25),72.31(0.35),284.98(0.90)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",180.00(2.12),73.88(0.31),49.20(0.35),41.93(0.25),72.31(0.35),282.43(1.11)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",176.20(2.77),74.43(0.40),48.86(0.28),41.72(0.25),72.87(0.42),18.67(0.37)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",176.20(2.77),74.43(0.40),48.86(0.28),41.72(0.25),72.87(0.42),18.68(0.16)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",174.80(4.27),74.63(0.62),48.84(0.15),41.77(0.12),73.11(0.60),17.84(0.18)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",174.80(4.27),74.63(0.62),48.84(0.15),41.77(0.12),73.11(0.60),18.08(0.32)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",176.20(5.07),74.43(0.74),48.62(0.30),41.59(0.19),72.92(0.71),116.85(0.90)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",176.20(5.07),74.43(0.74),48.62(0.30),41.59(0.19),72.92(0.71),118.16(0.97)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",174.80(4.38),74.63(0.64),48.66(0.39),41.72(0.17),73.07(0.67),112.48(1.42)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",174.80(4.38),74.63(0.64),48.66(0.39),41.72(0.17),73.07(0.67),112.87(2.06)
