,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.00(3.16),98.47(0.40),68.67(2.21),95.50(0.47),95.38(2.04),14.96(0.10)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",11.80(2.77),98.50(0.35),68.13(1.65),95.32(0.38),95.52(1.74),14.99(0.07)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.40(2.79),98.42(0.36),79.83(1.46),97.89(0.19),95.35(2.02),15.06(0.04)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.00(2.35),98.47(0.30),79.43(1.28),97.82(0.16),95.51(1.72),15.10(0.09)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.00(3.46),98.47(0.44),73.87(3.17),96.41(0.89),95.38(2.06),70.72(0.27)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",11.80(2.59),98.50(0.33),73.56(2.75),96.24(0.80),95.52(1.74),70.68(0.13)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",12.20(3.42),98.45(0.44),83.72(1.41),98.34(0.17),95.36(2.06),70.67(0.14)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",11.80(2.59),98.50(0.33),83.60(1.45),98.31(0.19),95.52(1.74),70.61(0.44)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.40(1.67),98.68(0.21),79.73(1.68),97.91(0.20),95.76(1.12),14.91(0.06)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.80(2.59),98.62(0.33),79.48(1.45),97.89(0.17),95.46(1.66),14.86(0.07)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.40(1.67),98.68(0.21),86.25(1.12),98.65(0.12),95.76(1.12),15.08(0.06)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.80(2.59),98.62(0.33),86.17(1.12),98.64(0.12),95.46(1.66),15.13(0.09)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.00(1.58),98.73(0.20),83.05(1.37),98.29(0.17),95.79(1.11),69.79(0.47)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.40(2.30),98.68(0.29),83.06(1.24),98.29(0.15),95.49(1.64),69.71(0.14)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.00(1.58),98.73(0.20),89.55(0.92),99.00(0.10),95.79(1.11),69.89(0.62)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",10.40(2.30),98.68(0.29),89.57(1.01),99.00(0.11),95.49(1.64),69.19(0.68)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",18.60(3.13),97.63(0.40),77.25(1.50),97.73(0.19),94.37(1.62),7.05(0.04)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",18.20(2.77),97.68(0.35),75.73(1.80),97.52(0.24),94.54(1.66),6.88(0.02)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",18.60(3.13),97.63(0.40),83.00(1.25),98.36(0.14),94.37(1.62),7.07(0.05)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",18.60(3.05),97.63(0.39),81.96(1.13),98.24(0.13),94.51(1.68),6.90(0.03)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",17.40(2.30),97.78(0.29),82.70(1.92),98.30(0.22),94.46(1.56),29.09(0.34)
