,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",325.00(4.95),57.63(0.65),51.41(0.12),38.80(0.08),52.82(0.59),30.76(1.87)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",356.00(0.00),53.59(0.00),53.07(0.00),38.71(0.00),48.52(0.00),2.04(0.11)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",324.80(3.27),57.65(0.43),50.78(0.65),38.65(0.54),52.32(0.66),32.51(3.53)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",356.00(0.00),53.59(0.00),53.38(0.00),39.03(0.00),48.52(0.00),2.13(0.11)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",325.00(4.95),57.63(0.65),51.41(0.12),38.80(0.08),52.82(0.59),28.55(2.01)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",356.00(0.00),53.59(0.00),53.07(0.00),38.71(0.00),48.52(0.00),1.61(0.01)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",324.80(3.27),57.65(0.43),50.78(0.65),38.65(0.54),52.32(0.66),26.80(3.02)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",356.00(0.00),53.59(0.00),53.38(0.00),39.03(0.00),48.52(0.00),1.59(0.01)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",331.60(4.04),56.77(0.53),51.98(0.25),38.70(0.49),51.61(0.74),23.27(1.81)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",356.00(0.00),53.59(0.00),52.74(0.00),37.93(0.00),48.52(0.00),1.60(0.01)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",330.20(4.21),56.95(0.55),51.86(0.47),39.08(0.44),51.59(1.04),24.64(3.23)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",356.00(0.00),53.59(0.00),52.80(0.00),38.34(0.00),48.52(0.00),1.61(0.01)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",331.60(4.04),56.77(0.53),51.98(0.25),38.70(0.49),51.61(0.74),23.28(1.89)
