,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",308.80(1.30),59.74(0.17),51.06(0.11),38.71(0.16),51.53(0.33),43.10(2.19)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),53.07(0.00),38.71(0.00),48.52(0.00),1.53(0.01)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",300.00(2.45),60.89(0.32),49.89(0.53),37.98(0.20),51.58(0.66),47.34(5.11)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),53.38(0.00),39.03(0.00),48.52(0.00),1.52(0.00)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",309.40(1.52),59.66(0.20),50.97(0.20),38.62(0.12),51.59(0.18),163.77(11.70)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),53.07(0.00),38.71(0.00),48.52(0.00),1.56(0.07)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",298.00(0.71),61.15(0.09),49.56(0.14),38.02(0.18),51.55(0.14),198.09(11.83)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),53.38(0.00),39.03(0.00),48.52(0.00),1.73(0.04)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",309.80(2.77),59.61(0.36),50.97(0.13),38.45(0.24),51.51(0.55),21.38(1.01)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),53.07(0.00),38.71(0.00),48.52(0.00),1.76(0.04)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",301.20(3.70),60.73(0.48),50.17(0.56),38.24(0.25),51.67(0.55),22.79(2.26)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",356.00(0.00),53.59(0.00),53.38(0.00),39.03(0.00),48.52(0.00),1.72(0.02)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 76}",309.60(2.30),59.63(0.30),50.96(0.08),38.47(0.26),51.51(0.34),76.02(1.89)
