,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",278.60(2.07),70.92(0.22),50.52(0.57),71.29(0.48),50.76(0.25),39.20(1.07)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.20(1.92),70.86(0.20),50.74(0.48),71.29(0.26),50.74(0.19),37.91(0.82)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",280.20(2.05),70.75(0.21),50.60(0.43),71.21(0.26),50.84(0.17),36.82(0.92)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.20(1.30),70.86(0.14),50.58(0.12),71.10(0.21),50.84(0.16),35.90(1.15)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",278.60(2.07),70.92(0.22),50.52(0.57),71.29(0.48),50.76(0.25),36.95(1.26)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.20(1.92),70.86(0.20),50.74(0.48),71.29(0.26),50.74(0.19),35.71(1.25)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",280.20(2.05),70.75(0.21),50.60(0.43),71.21(0.26),50.84(0.17),37.38(1.23)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.20(1.30),70.86(0.14),50.58(0.12),71.10(0.21),50.84(0.16),34.28(0.60)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",278.40(1.34),70.94(0.14),50.68(0.47),70.85(0.38),51.58(0.18),34.14(0.43)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",280.80(3.03),70.69(0.32),50.34(0.54),70.42(0.21),51.27(0.23),35.90(0.47)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.00(2.45),70.88(0.26),50.04(0.25),70.39(0.07),51.66(0.23),34.33(0.87)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.60(1.14),70.81(0.12),50.20(0.24),70.35(0.14),51.51(0.16),33.55(0.20)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",278.40(1.34),70.94(0.14),50.68(0.47),70.85(0.38),51.58(0.18),34.34(0.94)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",280.80(3.03),70.69(0.32),50.34(0.54),70.42(0.21),51.27(0.23),33.74(0.29)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.00(2.45),70.88(0.26),50.04(0.25),70.39(0.07),51.66(0.23),37.91(0.68)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",279.60(1.14),70.81(0.12),50.20(0.24),70.35(0.14),51.51(0.16),34.01(0.96)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",276.00(1.58),71.19(0.17),49.99(0.44),70.65(0.16),50.47(0.17),15.56(0.09)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",276.40(1.82),71.15(0.19),49.56(0.30),70.59(0.22),50.42(0.21),14.97(0.12)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(1.79),71.00(0.19),50.22(0.43),70.87(0.29),50.47(0.22),15.76(0.39)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(1.30),71.00(0.14),50.00(0.28),70.71(0.27),50.51(0.17),14.97(0.11)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",276.00(1.58),71.19(0.17),49.99(0.44),70.65(0.16),50.47(0.17),15.65(0.12)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",276.40(1.82),71.15(0.19),49.56(0.30),70.59(0.22),50.42(0.21),14.97(0.08)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(1.79),71.00(0.19),50.22(0.43),70.87(0.29),50.47(0.22),15.74(0.09)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",277.80(1.30),71.00(0.14),50.00(0.28),70.71(0.27),50.51(0.17),15.04(0.15)
