,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.60(1.14),71.02(0.12),48.39(0.72),70.00(0.31),49.96(0.11),65.48(0.83)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",278.00(1.87),70.98(0.20),48.58(0.42),70.17(0.31),49.93(0.18),64.13(0.06)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.00(1.73),71.09(0.18),48.24(0.47),69.87(0.34),50.03(0.22),65.39(1.04)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.40(1.14),71.15(0.12),48.23(0.51),69.75(0.33),50.11(0.14),63.84(0.15)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.20(1.30),71.06(0.14),48.65(0.42),70.20(0.29),50.01(0.14),134.57(8.56)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.60(1.67),71.02(0.17),48.38(0.27),70.06(0.17),49.96(0.18),142.54(0.99)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.80(1.48),71.11(0.15),48.48(0.34),69.77(0.16),50.06(0.19),145.26(1.39)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.40(0.55),71.04(0.06),48.42(0.30),69.60(0.22),49.95(0.07),144.41(0.18)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",278.20(0.45),70.96(0.05),48.29(0.28),69.89(0.09),49.87(0.03),31.86(0.11)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.40(1.34),71.04(0.14),48.27(0.56),69.89(0.17),49.91(0.14),31.36(0.04)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.60(1.34),71.13(0.14),48.26(0.46),69.95(0.34),49.99(0.12),31.79(0.33)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.20(0.84),71.06(0.09),48.08(0.31),69.96(0.12),49.97(0.10),31.16(0.17)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.60(0.89),71.02(0.09),48.40(0.16),70.09(0.23),49.92(0.07),60.33(0.20)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",279.20(1.30),70.86(0.14),48.36(0.66),69.97(0.16),49.78(0.12),59.40(0.31)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.60(0.89),71.02(0.09),48.48(0.81),70.04(0.53),49.92(0.13),60.51(0.60)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.40(1.52),71.04(0.16),48.60(0.67),70.27(0.30),49.98(0.12),59.69(0.51)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.80(1.10),71.11(0.11),49.47(0.52),70.10(0.34),50.09(0.08),73.22(0.93)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.60(1.14),71.02(0.12),49.50(0.42),70.04(0.13),50.03(0.08),73.69(0.70)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.00(1.22),71.09(0.13),49.44(0.35),70.09(0.31),50.07(0.09),73.60(0.48)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.80(0.45),71.11(0.05),49.78(0.41),70.18(0.30),50.09(0.03),73.12(0.38)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.00(0.71),71.09(0.07),49.60(0.63),70.20(0.25),50.07(0.05),142.16(0.77)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.80(0.84),71.11(0.09),49.62(0.79),70.18(0.42),50.09(0.06),142.13(0.96)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.80(0.84),71.11(0.09),49.27(0.35),70.02(0.46),50.09(0.06),143.34(0.72)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.00(0.71),71.09(0.07),49.48(0.37),69.98(0.24),50.07(0.05),142.59(1.28)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.60(1.14),71.02(0.12),49.79(0.29),70.23(0.28),49.81(0.08),31.75(0.72)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.60(0.55),71.13(0.06),49.81(0.34),70.35(0.17),49.97(0.04),30.82(0.19)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.40(1.67),71.04(0.17),49.98(0.41),70.48(0.26),49.87(0.17),30.97(0.27)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",276.40(1.34),71.15(0.14),49.99(0.55),70.37(0.24),49.98(0.18),30.91(0.17)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.80(0.84),71.00(0.09),49.89(0.38),70.32(0.30),49.82(0.07),60.05(1.13)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.40(0.55),71.04(0.06),49.85(0.47),70.26(0.35),49.89(0.04),59.12(0.30)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.40(0.89),71.04(0.09),49.77(0.08),70.34(0.19),49.91(0.10),58.32(0.99)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 95}",277.40(1.14),71.04(0.12),49.65(0.51),70.15(0.45),49.89(0.11),58.07(0.72)
