,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",98.80(1.92),71.77(0.55),59.74(0.83),72.70(0.89),62.88(0.69),14.00(0.21)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",98.80(1.92),71.77(0.55),59.74(0.83),72.70(0.89),62.88(0.69),14.10(0.35)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",101.40(1.82),71.03(0.52),58.36(0.89),71.75(0.44),61.95(0.82),14.43(0.23)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",101.80(1.92),70.91(0.55),58.38(0.88),71.78(0.47),61.83(0.82),14.35(0.11)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",98.80(1.92),71.77(0.55),59.74(0.83),72.70(0.89),62.88(0.69),14.34(0.24)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",98.80(1.92),71.77(0.55),59.74(0.83),72.70(0.89),62.88(0.69),14.18(0.48)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",101.40(1.82),71.03(0.52),58.36(0.89),71.75(0.44),61.95(0.82),14.23(0.31)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",101.80(1.92),70.91(0.55),58.38(0.88),71.78(0.47),61.83(0.82),14.19(0.28)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.80(3.27),69.49(0.93),58.96(0.29),72.08(0.54),60.50(0.98),13.56(0.11)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.80(3.27),69.49(0.93),58.97(0.31),71.97(0.50),60.50(0.98),13.47(0.07)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.00(2.92),69.71(0.83),59.16(0.78),72.22(0.56),60.71(0.93),13.50(0.03)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.40(3.51),69.60(1.00),58.97(0.71),72.15(0.48),60.56(1.16),13.31(0.18)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.80(3.27),69.49(0.93),58.96(0.29),72.08(0.54),60.50(0.98),13.37(0.16)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.80(3.27),69.49(0.93),58.97(0.31),71.97(0.50),60.50(0.98),13.45(0.39)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.00(2.92),69.71(0.83),59.16(0.78),72.22(0.56),60.71(0.93),13.33(0.35)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",106.40(3.51),69.60(1.00),58.97(0.71),72.15(0.48),60.56(1.16),13.41(0.10)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",95.80(2.59),72.63(0.74),59.80(0.75),73.05(0.56),63.37(1.03),6.09(0.13)
