,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",86.00(3.08),75.43(0.88),58.27(0.46),71.69(0.61),66.78(1.24),14.26(0.10)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",86.00(3.08),75.43(0.88),58.27(0.46),71.69(0.61),66.78(1.24),14.30(0.09)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",84.40(2.19),75.89(0.63),56.76(0.44),70.55(0.49),67.38(0.91),14.22(0.14)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",84.40(2.19),75.89(0.63),56.76(0.44),70.55(0.49),67.38(0.91),14.33(0.14)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",85.20(1.92),75.66(0.55),58.23(0.64),71.62(0.48),67.20(0.68),40.30(0.13)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",85.20(1.92),75.66(0.55),58.23(0.64),71.62(0.48),67.20(0.68),39.86(0.14)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",85.40(1.67),75.60(0.48),57.82(0.81),71.11(1.14),67.08(0.63),39.72(0.10)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",85.40(1.67),75.60(0.48),57.82(0.81),71.11(1.14),67.08(0.63),39.73(0.13)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",88.20(1.64),74.80(0.47),57.79(0.39),70.67(0.70),65.94(0.57),6.14(0.07)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",88.20(1.64),74.80(0.47),57.79(0.39),70.67(0.70),65.94(0.57),6.14(0.08)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",87.60(0.55),74.97(0.16),57.65(0.72),70.78(0.58),66.14(0.20),6.15(0.08)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",87.60(0.55),74.97(0.16),57.65(0.72),70.78(0.58),66.14(0.20),6.15(0.08)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",85.60(2.07),75.54(0.59),57.23(0.46),70.26(0.70),66.76(0.80),16.30(0.10)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",85.60(2.07),75.54(0.59),57.23(0.46),70.26(0.70),66.76(0.80),16.33(0.09)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",86.80(1.92),75.20(0.55),56.99(0.69),70.39(1.16),66.42(0.75),16.29(0.09)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",86.80(1.92),75.20(0.55),56.99(0.69),70.39(1.16),66.42(0.75),16.36(0.10)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",93.40(1.82),73.31(0.52),58.06(0.84),69.63(0.50),64.46(0.60),13.77(0.09)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",93.20(1.48),73.37(0.42),58.14(0.76),69.76(0.45),64.54(0.47),13.74(0.12)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",94.40(1.14),73.03(0.33),58.08(0.41),69.91(0.63),64.03(0.38),13.78(0.12)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",94.60(1.14),72.97(0.33),58.18(0.58),69.89(0.61),63.95(0.31),13.80(0.10)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",95.00(3.94),72.86(1.12),59.33(0.83),70.50(0.71),63.69(1.45),38.56(0.13)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",94.40(3.97),73.03(1.14),59.38(0.81),70.53(0.71),64.00(1.50),38.55(0.13)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",93.60(3.13),73.26(0.89),58.94(0.76),70.47(0.38),64.35(0.97),38.63(0.10)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 35}",93.80(3.11),73.20(0.89),58.82(0.73),70.40(0.34),64.31(0.96),38.67(0.19)
