,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",176.00(8.49),83.93(0.77),52.46(0.68),55.23(1.26),83.94(0.78),43.75(0.51)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",178.20(6.57),83.73(0.60),52.56(0.71),55.34(1.33),83.74(0.60),41.95(1.42)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",172.60(8.68),84.24(0.79),51.54(0.73),54.31(0.83),84.25(0.79),41.16(1.08)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",169.80(4.44),84.49(0.41),51.29(0.29),54.09(0.48),84.50(0.40),41.63(1.30)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",176.00(8.49),83.93(0.77),52.46(0.68),55.23(1.26),83.94(0.78),41.12(1.10)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",178.20(6.57),83.73(0.60),52.56(0.71),55.34(1.33),83.74(0.60),41.79(1.80)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",172.60(8.68),84.24(0.79),51.54(0.73),54.31(0.83),84.25(0.79),40.67(0.71)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",169.80(4.44),84.49(0.41),51.29(0.29),54.09(0.48),84.50(0.40),42.16(1.71)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",197.40(4.16),81.97(0.38),49.50(0.45),51.34(0.34),81.98(0.38),40.17(0.52)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",198.60(2.97),81.86(0.27),49.46(0.12),51.28(0.36),81.87(0.27),39.74(1.17)
