,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",126.60(5.50),88.44(0.50),52.73(0.68),55.69(1.49),88.45(0.50),83.22(0.27)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",126.60(4.93),88.44(0.45),52.81(0.76),55.72(1.53),88.45(0.45),83.33(0.36)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",126.60(3.85),88.44(0.35),51.42(0.43),54.09(0.95),88.45(0.35),83.30(0.47)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",124.40(4.39),88.64(0.40),51.48(0.19),54.14(0.66),88.65(0.40),85.44(3.23)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",125.20(3.11),88.57(0.28),52.82(0.66),55.85(1.10),88.58(0.28),185.23(2.78)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",126.00(3.67),88.49(0.34),52.65(0.71),55.54(1.40),88.51(0.34),185.32(1.15)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",123.60(4.88),88.71(0.45),52.16(0.52),55.04(0.92),88.73(0.45),186.51(0.99)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",124.20(4.82),88.66(0.44),52.00(0.50),54.67(0.72),88.67(0.44),185.93(1.13)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",131.20(4.32),88.02(0.39),51.24(0.68),52.86(1.08),88.03(0.39),39.73(0.29)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 109}",131.20(4.32),88.02(0.39),51.24(0.68),52.86(1.08),88.03(0.39),39.70(0.18)
