,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1369.20(3.96),57.15(0.12),50.77(0.10),53.51(0.14),56.71(0.13),202.21(9.50)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1370.00(16.58),57.12(0.52),51.07(0.17),54.01(0.15),56.68(0.52),115.71(2.88)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1407.20(6.50),55.96(0.20),50.67(0.08),53.33(0.07),55.49(0.21),202.76(9.67)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1406.60(10.41),55.97(0.33),50.90(0.22),53.64(0.13),55.51(0.34),114.34(1.86)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1369.20(3.96),57.15(0.12),50.77(0.10),53.51(0.14),56.71(0.13),194.62(10.15)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1370.00(16.58),57.12(0.52),51.07(0.17),54.01(0.15),56.68(0.52),137.45(5.54)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1407.20(6.50),55.96(0.20),50.67(0.08),53.33(0.07),55.49(0.21),226.84(9.82)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1406.60(10.41),55.97(0.33),50.90(0.22),53.64(0.13),55.51(0.34),126.60(1.28)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1440.20(10.38),54.92(0.32),50.16(0.10),52.87(0.08),54.47(0.33),233.81(7.18)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1437.40(6.91),55.01(0.22),50.34(0.12),53.24(0.17),54.56(0.21),127.47(1.01)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1438.80(9.60),54.97(0.30),50.15(0.05),52.79(0.09),54.52(0.30),237.69(8.86)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1435.40(13.01),55.07(0.41),50.23(0.30),53.04(0.27),54.62(0.41),133.69(1.49)
