,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1166.80(8.47),63.48(0.27),52.73(0.13),55.13(0.13),62.76(0.26),682.34(56.02)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1156.80(7.85),63.79(0.25),52.68(0.12),54.83(0.06),63.06(0.26),668.06(0.87)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1198.40(2.41),62.49(0.08),52.64(0.39),54.95(0.35),61.67(0.08),764.10(38.65)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1195.20(7.50),62.59(0.23),52.84(0.12),55.04(0.32),61.76(0.24),670.83(3.91)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1163.20(10.62),63.59(0.33),52.78(0.21),55.15(0.27),62.85(0.33),2208.31(127.10)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1167.80(6.76),63.45(0.21),52.43(0.19),54.73(0.18),62.72(0.21),1920.44(3.31)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1198.20(9.58),62.50(0.30),52.78(0.29),55.10(0.36),61.68(0.31),2192.13(74.34)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1202.20(9.60),62.37(0.30),52.69(0.10),54.82(0.22),61.55(0.32),1957.29(8.03)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1157.60(7.20),63.77(0.23),52.86(0.31),55.38(0.25),63.03(0.23),313.92(17.14)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 319}",1151.80(7.29),63.95(0.23),52.74(0.20),55.25(0.15),63.22(0.23),277.54(2.19)
