,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1157.20(10.99),74.84(0.24),43.77(0.11),34.70(0.15),70.94(0.26),193.11(7.49)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1157.00(7.78),74.85(0.17),44.11(0.06),34.84(0.05),71.00(0.22),180.98(0.99)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1205.40(12.52),73.80(0.27),43.27(0.16),34.37(0.13),69.71(0.30),172.85(7.83)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1206.40(19.20),73.77(0.42),43.20(0.10),34.39(0.09),69.61(0.42),164.48(2.12)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1157.20(10.99),74.84(0.24),43.77(0.11),34.70(0.15),70.94(0.26),169.62(5.90)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1157.00(7.78),74.85(0.17),44.11(0.06),34.84(0.05),71.00(0.22),165.12(2.24)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1205.40(12.52),73.80(0.27),43.27(0.16),34.37(0.13),69.71(0.30),165.01(5.59)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1206.40(19.20),73.77(0.42),43.20(0.10),34.39(0.09),69.61(0.42),155.08(0.39)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1352.80(6.22),70.59(0.14),44.00(0.07),34.44(0.05),66.04(0.15),160.61(0.51)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1350.00(4.64),70.65(0.10),44.13(0.21),34.52(0.17),66.19(0.14),151.08(0.24)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1357.60(3.21),70.49(0.07),44.14(0.17),34.59(0.14),66.00(0.09),161.76(1.96)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1353.20(12.60),70.58(0.27),44.06(0.22),34.47(0.10),66.14(0.35),160.32(1.06)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1352.80(6.22),70.59(0.14),44.00(0.07),34.44(0.05),66.04(0.15),163.36(4.20)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1350.00(4.64),70.65(0.10),44.13(0.21),34.52(0.17),66.19(0.14),156.92(8.07)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1357.60(3.21),70.49(0.07),44.14(0.17),34.59(0.14),66.00(0.09),168.06(2.29)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1353.20(12.60),70.58(0.27),44.06(0.22),34.47(0.10),66.14(0.35),153.24(2.95)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1138.40(11.17),75.25(0.24),43.14(0.19),34.32(0.08),70.99(0.26),75.37(0.29)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1142.00(11.53),75.17(0.25),43.07(0.38),34.27(0.21),70.92(0.27),70.18(0.27)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1182.80(12.28),74.29(0.27),42.92(0.14),34.17(0.08),69.95(0.30),77.79(1.68)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1181.80(8.70),74.31(0.19),42.60(0.13),33.99(0.16),69.99(0.22),72.60(0.47)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1138.40(11.17),75.25(0.24),43.14(0.19),34.32(0.08),70.99(0.26),78.93(0.06)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1142.00(11.53),75.17(0.25),43.07(0.38),34.27(0.21),70.92(0.27),71.15(1.36)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1182.80(12.28),74.29(0.27),42.92(0.14),34.17(0.08),69.95(0.30),76.06(0.55)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1181.80(8.70),74.31(0.19),42.60(0.13),33.99(0.16),69.99(0.22),70.33(0.32)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1294.80(13.92),71.85(0.30),43.44(0.35),34.16(0.20),67.09(0.33),67.99(1.24)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1297.60(11.72),71.79(0.25),43.63(0.18),34.29(0.11),67.04(0.23),62.53(0.33)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1301.20(12.26),71.71(0.27),43.90(0.23),34.76(0.15),66.93(0.26),59.88(1.40)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1293.20(11.30),71.89(0.25),44.25(0.26),34.98(0.16),67.15(0.29),54.20(1.22)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1294.80(13.92),71.85(0.30),43.44(0.35),34.16(0.20),67.09(0.33),66.99(0.78)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1297.60(11.72),71.79(0.25),43.63(0.18),34.29(0.11),67.04(0.23),62.58(0.39)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1301.20(12.26),71.71(0.27),43.90(0.23),34.76(0.15),66.93(0.26),59.88(1.30)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",1293.20(11.30),71.89(0.25),44.25(0.26),34.98(0.16),67.15(0.29),54.30(1.15)
