,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1643.40(12.60),64.27(0.27),40.98(0.24),33.12(0.10),54.89(0.35),1458.46(75.85)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1648.00(4.95),64.17(0.11),41.12(0.34),33.23(0.11),54.76(0.14),1449.44(6.50)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1681.80(6.06),63.44(0.13),41.29(0.33),33.25(0.13),53.78(0.16),1467.74(13.43)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1686.00(5.15),63.35(0.11),41.16(0.18),33.15(0.09),53.67(0.14),1413.62(3.83)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1644.40(5.13),64.25(0.11),40.95(0.21),33.11(0.12),54.84(0.14),7464.77(155.35)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1644.80(10.92),64.24(0.24),40.80(0.27),33.01(0.17),54.84(0.31),7426.36(88.47)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1685.80(5.85),63.35(0.13),41.15(0.34),33.20(0.18),53.67(0.16),7576.70(567.28)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1687.20(8.81),63.32(0.19),41.25(0.14),33.28(0.09),53.65(0.24),6891.82(476.04)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1737.40(5.41),62.23(0.12),43.04(0.22),34.32(0.13),52.23(0.14),1601.97(47.63)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1740.60(3.44),62.16(0.07),43.09(0.11),34.46(0.04),52.14(0.07),1524.67(194.07)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1738.40(4.04),62.21(0.09),43.19(0.12),34.40(0.06),52.19(0.11),1430.62(89.16)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1736.20(4.02),62.26(0.09),43.06(0.36),34.38(0.17),52.25(0.10),1190.35(6.43)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1737.40(2.07),62.23(0.05),43.15(0.11),34.41(0.07),52.23(0.06),6869.32(668.32)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1737.40(6.50),62.23(0.14),43.09(0.23),34.42(0.17),52.23(0.17),6354.73(359.04)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1737.40(3.78),62.23(0.08),43.14(0.21),34.40(0.09),52.23(0.11),6182.00(104.03)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1738.20(3.42),62.21(0.07),43.03(0.16),34.35(0.09),52.20(0.10),5866.02(14.89)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1632.40(5.86),64.51(0.13),41.71(0.40),33.48(0.20),55.19(0.16),539.18(2.18)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1637.60(3.91),64.40(0.09),41.72(0.09),33.46(0.07),55.05(0.10),503.62(1.89)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1673.60(10.36),63.62(0.23),41.60(0.13),33.34(0.09),54.02(0.29),535.64(3.91)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1670.40(5.18),63.69(0.11),41.60(0.21),33.41(0.11),54.12(0.15),502.57(2.08)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1637.40(6.11),64.40(0.13),41.92(0.30),33.53(0.17),55.06(0.16),2630.78(16.33)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1639.20(12.36),64.37(0.27),41.83(0.35),33.47(0.20),55.01(0.33),2459.83(13.60)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1675.80(7.19),63.57(0.16),41.59(0.14),33.39(0.12),53.96(0.19),2628.50(2.57)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 460}",1677.00(4.47),63.54(0.10),41.82(0.22),33.46(0.13),53.94(0.13),2466.62(6.67)
