,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",307.00(1.58),75.28(0.13),51.64(0.23),77.63(0.23),50.05(0.17),51.36(0.71)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",306.40(2.07),75.33(0.17),51.65(0.12),77.65(0.17),50.10(0.26),49.69(0.75)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",309.80(0.84),75.06(0.07),51.87(0.21),78.09(0.22),50.11(0.22),49.19(0.65)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",310.40(1.34),75.01(0.11),51.91(0.24),78.10(0.32),50.03(0.15),48.41(0.63)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",307.00(1.58),75.28(0.13),51.64(0.23),77.63(0.23),50.05(0.17),49.54(0.40)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",306.40(2.07),75.33(0.17),51.65(0.12),77.65(0.17),50.10(0.26),48.82(0.36)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",309.80(0.84),75.06(0.07),51.87(0.21),78.09(0.22),50.11(0.22),49.22(0.80)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",310.40(1.34),75.01(0.11),51.91(0.24),78.10(0.32),50.03(0.15),48.95(0.39)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",307.80(3.56),75.22(0.29),51.70(0.17),77.23(0.08),51.00(0.39),48.01(0.68)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",309.60(1.52),75.07(0.12),51.69(0.41),77.26(0.25),50.91(0.29),46.61(2.74)
