,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.80(0.45),76.18(0.04),50.49(0.29),77.31(0.16),50.03(0.08),104.35(0.13)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.80(0.45),76.18(0.04),50.49(0.29),77.31(0.16),50.03(0.08),104.32(0.27)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.50(0.45),77.56(0.28),50.00(0.00),107.11(1.65)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.50(0.45),77.56(0.28),50.00(0.00),117.56(4.30)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.60(0.55),76.20(0.04),50.39(0.44),77.20(0.28),50.07(0.09),238.66(4.46)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.60(0.55),76.20(0.04),50.39(0.44),77.20(0.28),50.07(0.09),241.91(0.98)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.71),76.17(0.06),50.76(0.37),77.70(0.31),50.02(0.08),241.17(1.30)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.71),76.17(0.06),50.76(0.37),77.70(0.31),50.02(0.08),243.17(1.63)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.46(0.31),77.75(0.15),50.00(0.00),51.64(0.86)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.46(0.31),77.75(0.15),50.00(0.00),51.83(0.17)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.66(0.33),77.45(0.27),50.00(0.00),51.51(0.65)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.66(0.33),77.45(0.27),50.00(0.00),52.01(0.26)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.70(0.31),77.80(0.16),50.00(0.00),99.69(1.03)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),50.70(0.31),77.80(0.16),50.00(0.00),99.59(0.53)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),51.16(0.15),77.75(0.19),50.00(0.00),100.37(0.42)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.00(0.00),76.17(0.00),51.16(0.15),77.75(0.19),50.00(0.00),100.42(0.71)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.40(0.55),76.30(0.04),51.21(0.73),77.11(0.38),50.27(0.09),123.82(1.26)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.40(0.55),76.30(0.04),51.21(0.73),77.11(0.38),50.27(0.09),123.14(0.77)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.80(0.45),76.26(0.04),51.46(0.38),77.16(0.28),50.20(0.08),122.96(0.46)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.80(0.45),76.26(0.04),51.46(0.38),77.16(0.28),50.20(0.08),122.60(0.55)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.00(0.00),76.33(0.00),51.53(0.31),77.15(0.17),50.34(0.00),239.27(1.35)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.00(0.00),76.33(0.00),51.53(0.31),77.15(0.17),50.34(0.00),235.95(1.84)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.80(0.84),76.26(0.07),51.62(0.11),77.20(0.16),50.23(0.10),237.05(2.20)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",294.80(0.84),76.26(0.07),51.62(0.11),77.20(0.16),50.23(0.10),236.03(2.55)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.60(0.55),76.20(0.04),51.11(0.54),77.21(0.17),50.09(0.13),51.15(0.41)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.60(0.55),76.20(0.04),51.11(0.54),77.21(0.17),50.09(0.13),51.53(0.53)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.20(0.84),76.15(0.07),50.98(0.27),77.09(0.18),50.01(0.09),51.50(0.43)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.20(0.84),76.15(0.07),50.98(0.27),77.09(0.18),50.01(0.09),51.38(0.58)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.80(0.45),76.18(0.04),51.30(0.26),77.38(0.15),50.03(0.08),99.55(0.48)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",295.80(0.45),76.18(0.04),51.30(0.26),77.38(0.15),50.03(0.08),96.90(3.35)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.20(0.45),76.15(0.04),51.25(0.21),77.24(0.26),49.99(0.02),93.51(0.38)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 124}",296.20(0.45),76.15(0.04),51.25(0.21),77.24(0.26),49.99(0.02),93.25(0.40)
