,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",54.00(3.74),92.26(0.54),46.02(0.20),31.80(0.22),92.09(0.51),28.77(0.55)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",54.00(3.74),92.26(0.54),46.02(0.20),31.80(0.22),92.09(0.51),28.47(0.32)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",45.60(1.52),93.47(0.22),44.72(0.45),30.96(0.26),93.05(0.26),28.10(0.53)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",45.60(1.52),93.47(0.22),44.72(0.45),30.96(0.26),93.05(0.26),27.73(0.49)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",54.00(3.74),92.26(0.54),46.02(0.20),31.80(0.22),92.09(0.51),27.73(0.10)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",54.00(3.74),92.26(0.54),46.02(0.20),31.80(0.22),92.09(0.51),27.48(0.48)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",45.60(1.52),93.47(0.22),44.72(0.45),30.96(0.26),93.05(0.26),27.19(0.35)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",45.60(1.52),93.47(0.22),44.72(0.45),30.96(0.26),93.05(0.26),26.95(0.34)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",61.40(2.97),91.20(0.42),43.70(0.38),30.17(0.24),90.16(0.51),27.06(0.53)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",61.40(2.97),91.20(0.42),43.70(0.38),30.17(0.24),90.16(0.51),27.05(0.30)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",64.40(2.88),90.77(0.41),43.82(0.43),30.29(0.26),89.62(0.60),26.90(0.32)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",64.40(2.88),90.77(0.41),43.82(0.43),30.29(0.26),89.62(0.60),27.02(0.41)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",61.40(2.97),91.20(0.42),43.70(0.38),30.17(0.24),90.16(0.51),27.16(0.34)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",61.40(2.97),91.20(0.42),43.70(0.38),30.17(0.24),90.16(0.51),26.80(0.33)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",64.40(2.88),90.77(0.41),43.82(0.43),30.29(0.26),89.62(0.60),27.04(0.24)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",64.40(2.88),90.77(0.41),43.82(0.43),30.29(0.26),89.62(0.60),27.22(0.24)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",49.60(1.82),92.89(0.26),43.95(0.29),30.62(0.21),92.22(0.41),11.72(0.15)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",49.60(1.82),92.89(0.26),43.95(0.29),30.62(0.21),92.22(0.41),11.63(0.29)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",48.60(2.07),93.04(0.30),43.53(0.29),30.39(0.18),92.47(0.30),11.81(0.20)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",48.60(2.07),93.04(0.30),43.53(0.29),30.39(0.18),92.47(0.30),11.95(0.16)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",49.60(1.82),92.89(0.26),43.95(0.29),30.62(0.21),92.22(0.41),11.89(0.07)
