,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",53.60(1.34),92.32(0.19),43.82(0.29),30.34(0.25),91.57(0.23),39.39(0.20)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",53.60(1.34),92.32(0.19),43.82(0.29),30.34(0.25),91.57(0.23),39.42(0.11)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",48.40(2.07),93.07(0.30),43.02(0.26),29.94(0.27),92.29(0.43),39.08(0.07)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",48.40(2.07),93.07(0.30),43.02(0.26),29.94(0.27),92.29(0.43),39.17(0.12)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",52.00(1.58),92.55(0.23),43.65(0.43),30.24(0.32),91.74(0.20),150.09(0.17)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",52.00(1.58),92.55(0.23),43.65(0.43),30.24(0.32),91.74(0.20),157.33(8.46)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",48.00(1.87),93.12(0.27),42.94(0.37),29.82(0.23),92.36(0.30),168.07(1.09)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",48.00(1.87),93.12(0.27),42.94(0.37),29.82(0.23),92.36(0.30),170.66(0.59)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",53.60(2.88),92.32(0.41),42.07(0.30),29.38(0.18),91.35(0.46),19.00(0.10)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",53.60(2.88),92.32(0.41),42.07(0.30),29.38(0.18),91.35(0.46),19.01(0.16)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",52.80(2.17),92.44(0.31),41.68(0.45),29.23(0.25),91.24(0.41),18.81(0.15)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",52.80(2.17),92.44(0.31),41.68(0.45),29.23(0.25),91.24(0.41),18.90(0.14)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",51.80(2.59),92.58(0.37),42.46(0.29),29.51(0.21),91.65(0.42),68.60(0.40)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",51.80(2.59),92.58(0.37),42.46(0.29),29.51(0.21),91.65(0.42),68.71(0.30)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",50.40(1.82),92.78(0.26),41.79(0.36),29.25(0.16),91.62(0.33),69.24(0.40)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",50.40(1.82),92.78(0.26),41.79(0.36),29.25(0.16),91.62(0.33),69.32(0.42)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",66.00(1.58),90.54(0.23),42.61(0.24),29.15(0.09),88.82(0.31),45.11(0.27)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",66.00(1.58),90.54(0.23),42.61(0.24),29.15(0.09),88.82(0.31),44.80(0.37)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",66.40(2.19),90.49(0.31),42.60(0.05),29.14(0.04),88.68(0.39),44.86(0.40)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",66.40(2.19),90.49(0.31),42.60(0.05),29.14(0.04),88.68(0.39),45.63(0.19)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",67.20(2.39),90.37(0.34),42.48(0.16),29.11(0.12),88.59(0.36),171.23(1.16)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",67.20(2.39),90.37(0.34),42.48(0.16),29.11(0.12),88.59(0.36),169.72(0.80)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",66.00(1.41),90.54(0.20),42.49(0.29),29.12(0.12),88.84(0.37),171.34(1.19)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",66.00(1.41),90.54(0.20),42.49(0.29),29.12(0.12),88.84(0.37),170.52(1.74)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",60.60(2.07),91.32(0.30),41.28(0.17),28.62(0.12),89.62(0.39),19.39(0.24)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",60.60(2.07),91.32(0.30),41.28(0.17),28.62(0.12),89.62(0.39),19.46(0.06)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",60.80(3.11),91.29(0.45),41.15(0.38),28.61(0.21),89.50(0.57),19.06(0.26)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",60.80(3.11),91.29(0.45),41.15(0.38),28.61(0.21),89.50(0.57),19.07(0.24)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",59.00(1.22),91.55(0.18),41.18(0.12),28.59(0.07),89.90(0.19),69.72(0.38)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",59.00(1.22),91.55(0.18),41.18(0.12),28.59(0.07),89.90(0.19),70.66(0.39)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",59.20(1.64),91.52(0.24),41.13(0.19),28.60(0.12),89.84(0.28),70.37(0.73)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.5, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 69}",59.20(1.64),91.52(0.24),41.13(0.19),28.60(0.12),89.84(0.28),70.08(0.81)
