,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",55.60(1.67),90.21(0.29),39.84(0.33),30.51(0.22),90.26(0.38),22.06(0.47)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",56.00(2.45),90.14(0.43),39.50(0.48),30.26(0.25),90.04(0.52),22.21(0.28)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",55.60(1.67),90.21(0.29),39.09(0.79),30.05(0.43),90.04(0.35),22.63(0.17)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",54.20(3.11),90.46(0.55),39.17(0.39),30.15(0.30),90.39(0.57),22.69(0.28)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",55.60(1.67),90.21(0.29),39.84(0.33),30.51(0.22),90.26(0.38),22.40(0.41)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",56.00(2.45),90.14(0.43),39.50(0.48),30.26(0.25),90.04(0.52),20.60(0.17)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",55.60(1.67),90.21(0.29),39.09(0.79),30.05(0.43),90.04(0.35),21.21(0.62)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",54.20(3.11),90.46(0.55),39.17(0.39),30.15(0.30),90.39(0.57),21.32(0.39)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",67.80(2.28),88.06(0.40),40.24(0.30),31.11(0.33),87.52(0.42),21.63(0.76)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 20}",67.80(2.39),88.06(0.42),40.26(0.30),31.11(0.29),87.54(0.48),21.70(0.21)
