,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",48.80(3.70),91.41(0.65),34.14(0.68),28.15(0.35),90.72(0.64),29.04(0.09)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",46.00(2.00),91.90(0.35),34.12(0.45),28.12(0.22),91.43(0.51),28.88(0.07)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",47.00(2.00),91.73(0.35),34.13(0.52),28.13(0.22),91.42(0.36),28.93(0.06)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",47.20(3.49),91.69(0.61),34.09(1.23),28.14(0.61),91.24(0.64),28.97(0.14)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",48.20(3.27),91.51(0.58),33.96(0.39),28.16(0.26),91.12(0.66),82.32(0.20)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",45.80(1.10),91.94(0.19),33.40(0.65),27.94(0.36),91.53(0.33),82.27(0.23)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",47.40(1.52),91.65(0.27),33.45(0.46),27.93(0.19),91.31(0.39),83.09(0.77)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",47.20(2.17),91.69(0.38),33.64(0.75),28.03(0.38),91.45(0.48),84.90(1.27)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",45.20(2.28),92.04(0.40),33.43(0.69),27.76(0.32),91.61(0.52),13.57(0.83)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",49.40(3.05),91.30(0.54),33.72(1.13),27.91(0.51),90.81(0.65),14.00(0.19)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",49.40(2.61),91.30(0.46),33.61(0.65),27.95(0.26),90.60(0.49),14.22(0.11)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",46.60(3.65),91.80(0.64),33.80(0.79),28.04(0.43),91.26(0.68),14.04(0.15)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",48.00(1.87),91.55(0.33),33.58(0.74),27.83(0.35),91.09(0.39),38.69(0.23)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",48.40(2.70),91.48(0.48),33.53(0.67),27.82(0.35),90.97(0.63),37.73(0.39)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",48.00(2.74),91.55(0.48),34.17(0.33),28.17(0.23),91.11(0.60),39.02(0.32)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",47.20(1.64),91.69(0.29),33.86(0.43),28.08(0.14),91.39(0.30),38.46(0.27)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",67.20(2.28),88.17(0.40),33.07(0.38),28.13(0.36),86.19(0.45),33.11(0.25)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",67.00(2.00),88.20(0.35),33.00(0.31),28.18(0.21),86.24(0.33),33.64(0.22)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",65.00(2.00),88.56(0.35),32.95(0.50),27.95(0.24),86.73(0.33),33.82(0.19)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",64.20(1.92),88.70(0.34),33.32(0.23),28.26(0.20),86.86(0.35),33.99(0.27)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",66.40(1.67),88.31(0.29),33.10(0.23),28.15(0.40),86.36(0.39),95.49(0.96)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",65.40(2.70),88.49(0.48),33.01(0.26),28.04(0.30),86.58(0.58),95.15(0.73)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",67.60(1.14),88.10(0.20),33.13(0.38),28.07(0.24),86.15(0.21),95.77(0.33)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",66.20(1.10),88.35(0.19),32.99(0.29),28.17(0.30),86.43(0.23),95.31(0.25)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",63.20(0.84),88.87(0.15),31.94(0.61),27.71(0.29),87.18(0.19),14.57(0.14)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",61.00(2.55),89.26(0.45),31.83(0.51),27.58(0.29),87.64(0.52),14.53(0.21)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",62.40(2.07),89.01(0.37),32.23(0.50),27.76(0.32),87.42(0.35),14.36(0.13)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",61.20(2.68),89.23(0.47),32.00(0.09),27.74(0.23),87.51(0.66),14.47(0.15)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",62.00(2.00),89.08(0.35),31.93(0.40),27.78(0.52),87.46(0.46),39.76(0.18)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",62.20(2.68),89.05(0.47),31.94(0.25),27.76(0.38),87.35(0.65),39.36(0.43)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",60.60(1.67),89.33(0.29),32.32(0.43),27.77(0.40),87.83(0.39),39.21(0.27)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 56}",60.00(2.74),89.44(0.48),32.14(0.55),28.04(0.55),87.93(0.51),39.82(0.59)
