,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.80(0.84),73.20(0.42),39.61(1.04),19.36(1.15),48.81(0.45),7.65(0.15)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(0.89),73.40(0.45),40.74(0.50),19.73(0.74),48.94(0.48),7.44(0.13)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.14),73.81(0.58),40.27(1.35),20.07(0.77),48.90(0.38),7.70(0.13)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.00(1.00),73.60(0.51),40.46(1.36),19.44(0.60),48.77(0.33),7.77(0.19)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.80(0.84),73.20(0.42),39.61(1.04),19.36(1.15),48.81(0.45),7.74(0.37)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(0.89),73.40(0.45),40.74(0.50),19.73(0.74),48.94(0.48),7.80(0.16)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.14),73.81(0.58),40.27(1.35),20.07(0.77),48.90(0.38),7.86(0.16)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.00(1.00),73.60(0.51),40.46(1.36),19.44(0.60),48.77(0.33),7.52(0.09)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.82),73.81(0.92),39.93(0.96),19.71(0.84),50.87(0.96),7.84(0.17)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",50.60(1.14),74.31(0.58),40.35(1.17),20.72(1.09),51.35(0.92),7.86(0.12)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.80(0.84),73.71(0.42),39.74(0.85),20.59(0.34),50.50(0.54),7.44(0.34)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.40(1.67),73.91(0.85),39.94(0.81),20.06(1.25),50.63(1.12),7.63(0.16)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.82),73.81(0.92),39.93(0.96),19.71(0.84),50.87(0.96),7.79(0.10)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",50.60(1.14),74.31(0.58),40.35(1.17),20.72(1.09),51.35(0.92),7.62(0.16)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.80(0.84),73.71(0.42),39.74(0.85),20.59(0.34),50.50(0.54),7.68(0.22)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.40(1.67),73.91(0.85),39.94(0.81),20.06(1.25),50.63(1.12),7.82(0.18)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(1.52),73.40(0.77),39.34(0.99),20.38(1.15),51.36(0.57),3.51(0.12)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.80(0.45),73.20(0.23),39.31(0.77),20.07(0.72),51.23(0.49),3.21(0.11)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.60(1.52),73.30(0.77),39.08(0.85),20.25(0.44),50.69(0.65),3.40(0.15)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(1.14),73.40(0.58),39.19(0.87),20.47(1.10),50.75(0.58),3.42(0.04)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(1.52),73.40(0.77),39.34(0.99),20.38(1.15),51.36(0.57),3.48(0.08)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.80(0.45),73.20(0.23),39.31(0.77),20.07(0.72),51.23(0.49),3.39(0.07)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.60(1.52),73.30(0.77),39.08(0.85),20.25(0.44),50.69(0.65),3.52(0.11)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(1.14),73.40(0.58),39.19(0.87),20.47(1.10),50.75(0.58),3.34(0.09)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",50.80(0.84),74.21(0.42),39.39(1.06),19.38(0.38),51.59(0.54),3.46(0.09)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",50.80(0.84),74.21(0.42),39.66(1.05),19.59(0.93),51.28(0.58),3.38(0.03)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.40(2.07),73.91(1.05),39.86(0.85),19.74(0.21),51.24(1.12),3.44(0.07)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.001, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.52),73.81(0.77),39.51(0.47),19.67(0.75),51.17(0.50),3.35(0.09)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",50.80(0.84),74.21(0.42),39.39(1.06),19.38(0.38),51.59(0.54),3.14(0.13)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",50.80(0.84),74.21(0.42),39.66(1.05),19.59(0.93),51.28(0.58),3.02(0.04)
"{'alpha': 0.5, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.40(2.07),73.91(1.05),39.86(0.85),19.74(0.21),51.24(1.12),3.10(0.05)
