,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.80(0.84),73.20(0.42),39.61(1.04),19.36(1.15),48.81(0.45),6.84(0.08)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(0.89),73.40(0.45),40.74(0.50),19.73(0.74),48.94(0.48),6.71(0.08)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.14),73.81(0.58),40.27(1.35),20.07(0.77),48.90(0.38),6.81(0.05)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.00(1.00),73.60(0.51),40.46(1.36),19.44(0.60),48.77(0.33),6.67(0.09)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.20(1.30),73.50(0.66),39.90(1.20),19.12(0.62),49.31(0.39),18.88(0.15)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.80(1.30),73.20(0.66),39.62(0.94),19.21(0.37),48.81(0.66),18.64(0.24)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.34),73.81(0.68),39.68(0.74),19.13(0.42),49.05(0.62),19.08(0.21)
"{'alpha': 0.1, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.80(1.10),73.71(0.56),39.83(0.97),19.61(0.94),48.84(0.36),18.72(0.10)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(1.52),73.40(0.77),39.34(0.99),20.38(1.15),51.36(0.57),3.08(0.07)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.80(0.45),73.20(0.23),39.31(0.77),20.07(0.72),51.23(0.49),2.96(0.01)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.60(1.52),73.30(0.77),39.08(0.85),20.25(0.44),50.69(0.65),3.05(0.02)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(1.14),73.40(0.58),39.19(0.87),20.47(1.10),50.75(0.58),3.02(0.09)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(0.55),73.40(0.28),39.02(1.14),19.84(0.82),51.51(0.31),8.07(0.15)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.00(1.00),73.60(0.51),39.82(0.79),20.45(1.20),51.79(0.33),7.70(0.07)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.40(0.55),73.40(0.28),39.08(1.02),20.13(0.77),50.90(0.18),7.86(0.13)
"{'alpha': 0.1, 'beta': 0.8, 'delta': 0.1, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",52.00(0.71),73.60(0.36),39.43(0.36),20.05(0.44),51.04(0.23),7.56(0.07)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.60(1.82),73.81(0.92),39.93(0.96),19.71(0.84),50.87(0.96),6.68(0.09)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",50.60(1.14),74.31(0.58),40.35(1.17),20.72(1.09),51.35(0.92),6.56(0.10)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.80(0.84),73.71(0.42),39.74(0.85),20.59(0.34),50.50(0.54),6.69(0.10)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.01, 'epsilon': 0.01, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.40(1.67),73.91(0.85),39.94(0.81),20.06(1.25),50.63(1.12),6.59(0.09)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.5, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.80(2.28),73.71(1.16),39.96(0.57),20.45(0.90),50.04(1.70),18.49(0.13)
"{'alpha': 0.5, 'beta': 0.5, 'delta': 0.1, 'epsilon': 0.001, 'gamma': 0.8, 'M': 500, 'theta1': 0.05, 'theta2': 0.75, 'N': 19}",51.80(1.48),73.71(0.75),39.24(0.77),18.95(0.30),50.20(1.02),18.14(0.09)
