,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",13922.20(79.75),57.24(0.24),50.13(0.28),76.07(0.12),50.18(0.28),61.83(1.56)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13772.60(78.23),57.70(0.24),50.09(0.39),76.19(0.30),49.96(0.29),61.95(3.46)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.64),24.09(0.01),nan(nan),nan(nan),50.00(0.01),60.88(4.17)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",16151.20(26.62),50.40(0.08),49.85(0.32),76.12(0.16),49.89(0.30),69.98(1.77)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",7885.60(21.78),75.78(0.07),50.49(0.52),76.33(0.21),49.98(0.01),70.51(5.51)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",24714.80(1.64),24.10(0.01),nan(nan),nan(nan),50.01(0.00),66.67(6.02)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",11690.80(1400.49),64.10(4.30),50.71(2.78),76.59(1.75),50.19(1.80),64.42(5.96)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",7845.40(3.21),75.91(0.01),50.50(0.16),76.20(0.07),50.01(0.01),65.31(3.04)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",24715.60(1.52),24.09(0.00),nan(nan),nan(nan),50.01(0.00),64.51(5.60)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",7842.40(0.55),75.91(0.00),49.52(0.10),75.84(0.07),50.01(0.00),65.03(5.75)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",7842.00(0.00),75.92(0.00),49.42(0.08),75.74(0.07),50.01(0.00),60.98(1.16)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),59.91(2.95)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",13920.40(70.02),57.25(0.22),50.13(0.32),76.07(0.15),50.20(0.29),59.70(1.00)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",13754.60(87.23),57.76(0.27),50.21(0.35),76.26(0.22),50.04(0.27),62.29(1.99)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),65.61(1.33)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",16159.00(47.09),50.37(0.14),49.85(0.29),76.13(0.15),49.91(0.25),61.98(4.32)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",7899.00(19.07),75.74(0.06),50.57(0.64),76.36(0.25),50.01(0.06),63.56(2.74)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",24715.20(0.45),24.10(0.00),nan(nan),nan(nan),50.01(0.00),60.28(5.17)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",8224.80(322.39),74.74(0.99),55.90(6.75),79.35(3.81),51.18(1.93),65.52(9.86)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",7843.40(0.55),75.91(0.00),50.67(0.22),76.31(0.17),50.00(0.00),66.93(6.74)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),62.57(3.28)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",7847.00(4.69),75.90(0.01),56.39(5.12),79.43(3.36),50.01(0.02),60.98(0.24)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",7845.80(0.45),75.90(0.00),50.75(0.20),76.34(0.15),50.00(0.00),61.42(0.35)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),61.90(0.66)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",14094.80(30.52),56.71(0.09),50.02(0.20),76.07(0.11),49.82(0.18),61.49(0.24)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",13783.60(104.62),57.67(0.32),50.31(0.42),76.23(0.22),50.10(0.45),61.34(0.44)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),61.07(0.80)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",13922.20(79.75),57.24(0.24),50.13(0.28),76.07(0.12),50.18(0.28),60.69(0.32)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13772.60(78.23),57.70(0.24),50.09(0.39),76.19(0.30),49.96(0.29),61.71(2.30)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.64),24.09(0.01),nan(nan),nan(nan),50.00(0.01),60.14(0.34)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",16151.20(26.62),50.40(0.08),49.85(0.32),76.12(0.16),49.89(0.30),60.57(0.45)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",7885.60(21.78),75.78(0.07),50.49(0.52),76.33(0.21),49.98(0.01),59.95(0.33)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",24714.80(1.64),24.10(0.01),nan(nan),nan(nan),50.01(0.00),62.31(1.72)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",11690.80(1400.49),64.10(4.30),50.71(2.78),76.59(1.75),50.19(1.80),64.96(0.83)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",7845.40(3.21),75.91(0.01),50.50(0.16),76.20(0.07),50.01(0.01),61.59(0.71)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",24715.60(1.52),24.09(0.00),nan(nan),nan(nan),50.01(0.00),60.95(0.27)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",7842.40(0.55),75.91(0.00),49.52(0.10),75.84(0.07),50.01(0.00),64.84(5.94)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",7842.00(0.00),75.92(0.00),49.42(0.08),75.74(0.07),50.01(0.00),61.35(0.40)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),62.25(2.11)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",13923.40(74.19),57.24(0.23),50.15(0.32),76.08(0.14),50.19(0.30),63.36(1.99)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",13798.60(56.64),57.62(0.17),50.18(0.28),76.24(0.23),49.92(0.18),60.88(0.49)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),60.56(0.62)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",16158.20(47.10),50.38(0.14),49.85(0.29),76.13(0.15),49.91(0.25),60.87(0.69)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",7901.00(21.13),75.73(0.06),50.55(0.63),76.37(0.23),50.00(0.06),60.94(1.02)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",24715.20(0.45),24.10(0.00),nan(nan),nan(nan),50.01(0.00),60.94(0.47)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",8215.20(329.58),74.77(1.01),56.25(6.71),79.56(3.77),51.30(2.02),61.82(1.43)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",7843.40(0.55),75.91(0.00),50.68(0.22),76.32(0.17),50.00(0.00),61.58(1.04)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),61.54(0.21)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",7846.60(4.77),75.90(0.01),56.56(5.14),79.56(3.36),50.02(0.02),61.31(0.40)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",7845.80(0.45),75.90(0.00),50.76(0.20),76.34(0.15),50.00(0.00),61.92(1.31)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),62.87(1.00)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",13992.80(78.76),57.03(0.24),50.18(0.22),76.17(0.17),50.05(0.19),62.44(1.36)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",13774.00(88.47),57.70(0.27),50.20(0.32),76.17(0.24),50.06(0.27),63.72(2.63)
"{'T': 8, 'gamma': 1.22, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",24716.20(1.30),24.09(0.00),nan(nan),nan(nan),50.01(0.00),61.67(0.48)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",13922.00(80.21),57.24(0.25),50.13(0.28),76.07(0.12),50.18(0.29),61.06(0.72)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13777.20(86.56),57.69(0.27),50.08(0.42),76.19(0.30),49.98(0.35),60.65(0.70)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",24716.20(1.64),24.09(0.01),nan(nan),nan(nan),50.00(0.01),60.75(0.75)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",16151.20(26.62),50.40(0.08),49.85(0.32),76.12(0.16),49.89(0.30),63.90(2.98)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",7882.40(24.38),75.79(0.07),50.46(0.51),76.33(0.20),49.99(0.02),62.93(0.93)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",24714.80(1.64),24.10(0.01),nan(nan),nan(nan),50.01(0.00),61.09(1.22)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",11690.80(1400.49),64.10(4.30),50.71(2.78),76.59(1.75),50.19(1.80),59.82(0.33)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",7845.40(3.21),75.91(0.01),50.50(0.16),76.20(0.07),50.01(0.01),60.40(0.60)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",24715.60(1.52),24.09(0.00),nan(nan),nan(nan),50.01(0.00),59.85(0.47)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",7842.40(0.55),75.91(0.00),49.52(0.10),75.84(0.07),50.01(0.00),60.57(0.50)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",7842.00(0.00),75.92(0.00),49.42(0.08),75.74(0.07),50.01(0.00),60.38(0.18)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),60.95(0.38)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",13965.60(17.17),57.11(0.05),50.23(0.17),76.12(0.09),50.13(0.13),61.53(0.45)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",13776.80(32.28),57.69(0.10),50.12(0.24),76.18(0.21),49.93(0.20),61.54(0.49)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",24716.80(0.84),24.09(0.00),nan(nan),nan(nan),50.00(0.00),62.51(3.77)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",16157.80(51.24),50.38(0.16),49.86(0.29),76.13(0.14),49.91(0.25),61.93(1.61)
"{'T': 8, 'gamma': 1.22, 'alpha': 1, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",7901.60(16.13),75.73(0.05),50.54(0.64),76.32(0.24),49.99(0.04),62.80(0.91)
