,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",387.20(1.10),43.88(0.16),57.53(0.96),57.15(0.84),48.92(0.13),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",386.80(0.45),43.94(0.06),57.27(0.56),56.68(0.62),48.97(0.04),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",310.00(2.24),55.07(0.32),nan(nan),nan(nan),49.71(0.30),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",374.40(16.76),45.74(2.43),55.12(2.23),53.42(2.17),50.13(2.05),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",361.80(8.79),47.57(1.27),53.97(0.87),52.05(1.17),50.62(0.94),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",309.60(1.95),55.13(0.28),nan(nan),nan(nan),49.79(0.26),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",343.60(12.92),50.20(1.87),48.29(2.03),48.56(1.19),49.20(1.71),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",354.60(2.30),48.61(0.33),51.47(1.39),51.04(2.02),49.92(0.33),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",306.40(0.55),55.59(0.08),nan(nan),nan(nan),50.24(0.09),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",311.40(2.70),54.87(0.39),nan(nan),nan(nan),49.62(0.36),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",310.60(2.07),54.99(0.30),nan(nan),nan(nan),49.70(0.25),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",310.00(1.87),55.07(0.27),nan(nan),nan(nan),49.81(0.27),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",310.00(1.41),55.07(0.20),nan(nan),nan(nan),49.80(0.17),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",305.00(3.39),55.80(0.49),nan(nan),nan(nan),50.61(0.49),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",306.00(4.53),55.65(0.66),nan(nan),nan(nan),50.47(0.67),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",308.80(0.84),55.25(0.12),nan(nan),nan(nan),49.81(0.11),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",387.20(1.10),43.88(0.16),57.53(0.96),57.15(0.83),48.92(0.13),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",386.80(0.45),43.94(0.06),57.27(0.56),56.68(0.62),48.97(0.04),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",310.00(2.24),55.07(0.32),nan(nan),nan(nan),49.71(0.30),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",375.00(15.25),45.65(2.21),55.21(2.19),53.54(2.12),50.04(1.81),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",362.20(9.26),47.51(1.34),54.02(1.39),52.27(1.39),50.62(1.01),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",309.60(1.95),55.13(0.28),nan(nan),nan(nan),49.79(0.26),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",343.40(12.93),50.23(1.87),48.37(1.88),48.64(0.89),49.24(1.72),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",356.00(3.94),48.41(0.57),51.57(1.34),51.21(1.81),49.75(0.72),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",306.40(0.55),55.59(0.08),nan(nan),nan(nan),50.24(0.09),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",311.00(2.00),54.93(0.29),nan(nan),nan(nan),49.66(0.25),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",310.20(2.17),55.04(0.31),nan(nan),nan(nan),49.75(0.28),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.20(0.06)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",310.00(1.87),55.07(0.27),nan(nan),nan(nan),49.81(0.26),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",310.00(1.41),55.07(0.20),nan(nan),nan(nan),49.80(0.17),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",307.60(1.34),55.42(0.19),nan(nan),nan(nan),50.01(0.21),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",305.00(3.39),55.80(0.49),nan(nan),nan(nan),50.59(0.49),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",306.80(4.66),55.54(0.68),nan(nan),nan(nan),50.34(0.70),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",308.80(0.84),55.25(0.12),nan(nan),nan(nan),49.81(0.11),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.01)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",307.00(0.00),55.51(0.00),nan(nan),nan(nan),50.00(0.00),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",387.20(1.10),43.88(0.16),57.71(0.94),57.20(0.54),48.92(0.13),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",386.80(0.45),43.94(0.06),57.27(0.57),56.65(0.63),48.97(0.04),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",310.00(2.24),55.07(0.32),nan(nan),nan(nan),49.71(0.30),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",376.40(7.09),45.45(1.03),56.26(2.18),54.95(1.47),50.03(0.97),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",371.20(7.05),46.20(1.02),54.52(0.89),53.25(0.92),49.77(0.89),0.16(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",309.60(1.95),55.13(0.28),nan(nan),nan(nan),49.79(0.26),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",339.40(12.78),50.81(1.85),49.78(2.26),49.45(1.41),50.00(1.67),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",354.20(10.57),48.67(1.53),51.99(0.59),51.76(1.34),50.23(1.15),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",306.40(0.55),55.59(0.08),nan(nan),nan(nan),50.24(0.09),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",307.60(1.67),55.42(0.24),nan(nan),nan(nan),50.17(0.25),0.17(0.00)
"{'T': 8, 'gamma': 10.714, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",308.00(1.22),55.36(0.18),nan(nan),nan(nan),50.11(0.19),0.17(0.00)
