,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),25.25(1.15),6.84(0.08),50.00(0.00),49.72(5.11)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13.80(0.84),98.24(0.11),93.59(0.04),91.66(0.10),93.91(0.06),50.67(2.01)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",87.20(1.30),88.91(0.17),nan(nan),nan(nan),49.91(0.09),50.76(1.08)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",417.60(6.69),46.87(0.85),15.77(2.24),6.40(0.14),27.84(0.48),51.40(0.96)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",177.60(44.35),77.40(5.64),48.57(1.36),12.80(2.84),52.64(2.95),50.50(0.69)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",90.00(0.71),88.55(0.09),nan(nan),nan(nan),49.71(0.05),49.94(1.19)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",122.20(15.91),84.45(2.02),62.82(2.42),25.42(2.23),65.88(1.22),49.91(0.87)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",297.20(27.87),62.19(3.55),50.19(1.94),12.80(1.64),51.95(3.07),48.72(1.79)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",90.00(1.22),88.55(0.16),nan(nan),nan(nan),49.71(0.09),49.30(1.48)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),92.03(0.23),65.38(0.75),50.00(0.00),47.45(1.69)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",16.80(0.45),97.86(0.06),96.76(0.09),94.40(0.18),91.76(0.26),48.17(1.87)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",88.20(0.45),88.78(0.06),nan(nan),nan(nan),49.84(0.03),50.74(1.54)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),33.13(1.68),7.54(0.18),50.00(0.00),50.89(0.92)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",14.20(1.30),98.19(0.17),94.65(0.28),92.21(0.34),94.09(0.33),50.38(0.67)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",88.20(0.45),88.78(0.06),nan(nan),nan(nan),49.84(0.03),50.12(0.19)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",420.00(12.21),46.56(1.55),20.55(0.81),6.67(0.07),27.98(0.94),50.10(1.16)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",172.60(37.81),78.04(4.81),58.38(1.22),20.55(3.80),59.62(3.12),50.41(0.41)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",89.60(2.07),88.60(0.26),nan(nan),nan(nan),49.74(0.15),50.31(0.59)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),50.48(0.94)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),49.25(2.07)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),50.08(1.33)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),50.13(1.16)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),49.66(2.04)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),48.37(1.01)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),47.87(0.96)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),47.95(2.37)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",87.00(0.00),88.93(0.00),nan(nan),nan(nan),49.93(0.00),47.32(1.17)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",86.00(0.00),89.06(0.00),25.25(1.15),6.84(0.08),50.00(0.00),47.74(1.53)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",13.80(0.84),98.24(0.11),93.59(0.04),91.66(0.10),93.91(0.06),48.09(0.64)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",87.20(1.30),88.91(0.17),nan(nan),nan(nan),49.91(0.09),47.45(0.41)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",417.60(6.69),46.87(0.85),15.77(2.24),6.40(0.14),27.84(0.48),45.60(4.02)
"{'T': 8, 'gamma': 0.157, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",177.60(44.35),77.40(5.64),48.57(1.36),12.80(2.84),52.64(2.95),46.31(1.45)
