,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",273.20(3.42),64.43(0.45),46.26(0.72),32.46(0.31),49.64(0.24),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",271.00(1.58),64.71(0.21),46.33(0.41),32.43(0.44),49.77(0.14),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",285.80(22.91),62.79(2.98),48.87(nan),34.02(nan),50.25(0.60),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",368.60(7.20),52.01(0.94),48.33(1.31),35.12(1.17),48.91(1.05),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",368.60(14.08),52.01(1.83),48.51(1.53),35.33(0.95),49.06(1.77),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",272.20(3.35),64.56(0.44),nan(nan),nan(nan),50.05(0.36),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",413.00(4.18),46.22(0.54),52.54(0.29),40.51(1.02),50.35(0.60),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",368.20(15.11),52.06(1.97),48.68(1.78),37.35(1.85),48.93(1.45),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",270.40(1.67),64.79(0.22),nan(nan),nan(nan),50.09(0.24),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",280.60(14.33),63.46(1.87),nan(nan),nan(nan),50.23(0.73),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",290.80(35.77),62.14(4.66),48.12(nan),36.68(nan),49.71(0.66),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",268.80(0.84),65.00(0.11),nan(nan),nan(nan),50.04(0.13),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",290.40(34.85),62.19(4.54),nan(nan),nan(nan),49.40(1.28),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",290.40(34.79),62.19(4.53),46.71(nan),35.42(nan),49.68(0.76),0.17(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",268.80(0.84),65.00(0.11),nan(nan),nan(nan),50.04(0.13),0.20(0.04)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",362.80(11.90),52.76(1.55),49.47(0.79),36.03(0.94),50.37(1.12),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",368.60(8.26),52.01(1.08),48.90(1.10),35.61(1.05),49.62(0.86),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",268.20(1.92),65.08(0.25),nan(nan),nan(nan),50.22(0.28),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",269.00(1.00),64.97(0.13),nan(nan),nan(nan),49.99(0.19),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",269.60(0.89),64.90(0.12),nan(nan),nan(nan),49.87(0.17),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",269.00(1.00),64.97(0.13),nan(nan),nan(nan),49.99(0.19),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",269.60(0.89),64.90(0.12),nan(nan),nan(nan),49.87(0.17),0.17(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",269.00(1.00),64.97(0.13),nan(nan),nan(nan),49.99(0.19),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",269.60(0.89),64.90(0.12),nan(nan),nan(nan),49.87(0.17),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",273.20(3.42),64.43(0.45),46.26(0.72),32.46(0.31),49.64(0.24),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",271.00(1.58),64.71(0.21),46.33(0.41),32.43(0.44),49.77(0.14),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",285.80(22.91),62.79(2.98),48.87(nan),34.02(nan),50.25(0.60),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",368.40(7.23),52.03(0.94),48.34(1.31),35.12(1.17),48.93(1.05),0.17(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",368.60(14.08),52.01(1.83),48.50(1.53),35.32(0.95),49.06(1.77),0.17(0.00)
