,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",272.60(1.52),64.51(0.20),48.03(1.12),34.52(0.65),49.78(0.27),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",272.20(1.64),64.56(0.21),48.13(0.77),34.50(0.41),49.82(0.29),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",272.20(3.56),64.56(0.46),nan(nan),nan(nan),49.93(0.37),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",371.20(8.90),51.67(1.16),47.29(1.06),34.92(0.13),48.16(1.37),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",366.20(6.61),52.32(0.86),48.12(1.54),35.37(0.86),48.91(0.99),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",269.80(2.17),64.87(0.28),nan(nan),nan(nan),50.20(0.34),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",429.60(11.33),44.06(1.47),49.85(0.87),35.79(0.56),49.01(1.02),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",382.40(8.91),50.21(1.16),49.26(0.90),35.70(0.89),49.50(1.35),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",268.80(1.30),65.00(0.17),nan(nan),nan(nan),50.18(0.16),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",317.60(18.68),58.65(2.43),49.03(1.29),37.23(0.99),50.79(0.73),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",316.00(18.59),58.85(2.42),47.68(0.63),35.62(0.54),50.03(0.98),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",268.00(2.55),65.10(0.33),nan(nan),nan(nan),50.24(0.39),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",314.40(18.43),59.06(2.40),48.26(0.92),36.37(0.88),50.40(1.07),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",316.60(15.03),58.78(1.96),47.32(1.12),35.75(1.07),49.80(1.19),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",268.00(2.55),65.10(0.33),nan(nan),nan(nan),50.24(0.39),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",363.00(3.94),52.73(0.51),48.38(0.68),34.91(0.44),49.68(0.60),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",369.00(12.08),51.95(1.57),48.63(1.45),35.85(0.90),49.02(1.74),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",266.80(1.10),65.26(0.14),nan(nan),nan(nan),50.40(0.13),0.18(0.00)
"{'T': 8, 'gamma': 18.75, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.90(0.00),0.18(0.00)
