,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",11357.00(0.00),88.84(0.00),49.62(0.04),11.21(0.03),50.00(0.00),37.60(0.68)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",11357.00(0.00),88.84(0.00),49.73(0.05),11.21(0.03),50.00(0.00),37.69(1.19)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",11361.60(1.95),88.84(0.00),nan(nan),nan(nan),50.00(0.00),37.78(0.51)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",33543.40(854.96),67.04(0.84),50.18(0.09),11.26(0.06),50.19(0.22),44.31(5.69)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",33470.00(963.96),67.11(0.95),50.08(0.43),11.25(0.14),50.12(0.37),51.83(2.79)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",11361.80(1.48),88.84(0.00),nan(nan),nan(nan),50.00(0.00),50.23(0.41)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",46838.60(347.33),53.97(0.34),49.94(0.41),11.15(0.10),49.99(0.26),53.04(4.42)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",37433.60(536.39),63.22(0.53),49.99(0.25),11.16(0.09),50.15(0.18),52.90(4.53)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",11361.40(0.89),88.84(0.00),nan(nan),nan(nan),50.00(0.00),50.53(3.72)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",21331.40(16156.95),79.04(15.88),49.28(0.41),10.93(0.13),49.90(0.19),55.95(0.39)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",11358.00(1.00),88.84(0.00),49.32(0.03),10.96(0.15),50.00(0.00),54.48(1.77)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",11360.20(0.45),88.84(0.00),nan(nan),nan(nan),50.00(0.00),52.92(3.42)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",14638.20(3246.40),85.62(3.19),49.75(0.35),11.00(0.11),49.92(0.08),56.60(0.53)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",11357.60(0.89),88.84(0.00),49.40(0.03),11.05(0.16),50.00(0.00),52.08(2.46)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",11360.20(0.45),88.84(0.00),nan(nan),nan(nan),50.00(0.00),48.87(4.52)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",41697.00(1447.93),59.03(1.42),49.66(0.13),11.08(0.05),49.79(0.08),51.83(3.84)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",41944.00(1552.98),58.78(1.53),49.85(0.27),11.12(0.05),49.99(0.17),49.89(2.42)
"{'T': 8, 'gamma': 3.191, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",11360.80(0.84),88.84(0.00),nan(nan),nan(nan),50.00(0.00),49.64(4.01)
