,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",277.80(0.84),71.03(0.09),52.94(0.48),72.90(0.62),50.53(0.08),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",277.80(0.45),71.03(0.05),53.22(0.15),72.88(0.11),50.56(0.03),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",683.00(1.00),28.78(0.10),nan(nan),nan(nan),49.81(0.19),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",463.20(9.76),51.70(1.02),49.86(3.06),70.58(1.81),50.14(2.12),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",437.00(15.08),54.43(1.57),51.26(1.54),71.85(0.92),51.10(1.84),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",681.60(1.52),28.93(0.16),nan(nan),nan(nan),50.07(0.17),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",583.00(8.28),39.21(0.86),49.41(0.83),70.76(0.50),49.69(0.56),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",297.80(14.24),68.95(1.48),52.41(1.12),72.15(0.62),50.55(0.47),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",680.00(1.22),29.09(0.13),nan(nan),nan(nan),50.23(0.12),0.26(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",279.00(0.71),70.91(0.07),53.43(0.29),73.56(0.17),50.14(0.05),0.26(0.00)
