,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",498980.20(250.31),50.10(0.03),49.96(0.03),52.80(0.01),50.00(0.03),269.18(4.10)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",498959.80(328.11),50.10(0.03),49.98(0.02),52.81(0.01),50.00(0.04),268.14(1.60)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",499377.20(487.22),50.06(0.05),50.04(0.08),52.86(0.05),50.06(0.06),267.35(0.54)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",495936.60(380.97),50.41(0.04),49.81(0.06),52.72(0.04),49.90(0.05),267.07(0.92)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",475229.60(276.17),52.48(0.03),49.41(0.09),52.49(0.06),49.90(0.02),266.32(0.36)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",475513.40(119.04),52.45(0.01),49.54(0.10),52.64(0.08),49.89(0.02),268.12(1.43)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",498953.00(264.31),50.10(0.03),49.97(0.02),52.81(0.02),50.00(0.03),275.79(4.42)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",498988.20(372.10),50.10(0.04),49.97(0.03),52.80(0.02),50.00(0.04),277.43(4.31)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",498982.20(250.94),50.10(0.03),49.96(0.03),52.80(0.01),50.00(0.03),280.16(3.71)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",499058.40(392.38),50.09(0.04),49.97(0.02),52.80(0.01),49.99(0.04),272.67(2.87)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",499376.60(487.26),50.06(0.05),50.04(0.08),52.86(0.05),50.06(0.06),269.18(1.22)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",495851.60(399.90),50.41(0.04),49.82(0.06),52.72(0.04),49.91(0.05),271.61(7.68)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",475228.40(277.71),52.48(0.03),49.41(0.09),52.49(0.06),49.90(0.02),274.59(8.18)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",475512.20(117.19),52.45(0.01),49.54(0.10),52.64(0.08),49.89(0.02),276.05(3.29)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",498936.20(209.91),50.11(0.02),49.98(0.02),52.81(0.01),50.01(0.02),279.50(6.34)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",498955.00(512.13),50.10(0.05),49.97(0.04),52.80(0.02),50.00(0.05),296.34(7.66)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",498981.00(251.15),50.10(0.03),49.96(0.03),52.80(0.01),50.00(0.03),295.24(0.82)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",498960.00(327.84),50.10(0.03),49.98(0.02),52.81(0.01),50.00(0.04),296.46(0.73)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",499378.20(489.84),50.06(0.05),50.04(0.08),52.86(0.05),50.06(0.06),293.52(1.48)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",495940.40(378.46),50.41(0.04),49.81(0.06),52.72(0.04),49.90(0.05),292.47(0.69)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",475297.80(224.50),52.47(0.02),49.37(0.08),52.46(0.05),49.90(0.02),292.24(2.41)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",475519.60(141.57),52.45(0.01),49.54(0.10),52.63(0.09),49.89(0.02),295.02(3.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",498953.60(265.04),50.10(0.03),49.97(0.02),52.81(0.02),50.00(0.03),297.99(1.42)
