,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",155.00(8.75),55.84(2.49),53.39(1.60),67.29(1.24),51.73(2.36),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",160.20(9.88),54.36(2.82),53.39(1.85),67.76(1.02),50.12(2.86),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",221.20(2.49),36.98(0.71),nan(nan),nan(nan),50.53(0.70),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",221.80(4.76),36.81(1.36),37.40(1.03),57.11(0.73),43.27(1.41),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",120.00(11.16),65.81(3.18),64.85(3.29),72.66(2.39),58.77(3.76),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",221.80(1.10),36.81(0.31),nan(nan),nan(nan),50.29(0.31),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",163.00(6.36),53.56(1.81),54.24(1.14),69.64(1.02),53.27(2.18),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",153.40(60.24),56.30(17.16),54.76(17.37),67.22(9.80),53.20(10.25),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",222.00(0.71),36.75(0.20),nan(nan),nan(nan),50.21(0.35),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",107.80(2.05),69.29(0.58),70.44(0.47),77.21(0.37),59.77(0.59),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",107.20(1.30),69.46(0.37),70.86(0.15),77.58(0.09),59.90(0.65),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",222.80(0.45),36.52(0.13),nan(nan),nan(nan),50.07(0.25),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",155.80(7.73),55.61(2.20),53.28(1.65),67.37(1.21),51.51(2.08),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",160.00(8.09),54.42(2.31),53.38(1.52),67.77(0.91),50.13(2.41),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",223.00(1.41),36.47(0.40),nan(nan),nan(nan),50.03(0.38),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",221.80(6.57),36.81(1.87),36.26(1.38),56.79(0.68),43.48(1.69),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",142.20(43.78),59.49(12.47),59.76(12.48),71.02(7.45),54.89(7.78),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",221.40(1.14),36.92(0.32),nan(nan),nan(nan),50.49(0.28),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",119.40(13.89),65.98(3.96),62.62(2.52),71.61(2.60),58.63(3.94),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",112.00(4.18),68.09(1.19),67.79(1.70),74.14(1.54),59.75(1.37),0.10(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",222.60(1.14),36.58(0.32),nan(nan),nan(nan),50.43(0.39),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",116.40(11.84),66.84(3.37),63.94(2.90),72.55(2.32),59.26(2.74),0.11(0.00)
"{'T': 8, 'gamma': 4.412, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",112.20(5.81),68.03(1.65),67.04(1.67),73.49(1.66),60.16(1.65),0.11(0.00)
