,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",557.60(8.88),49.12(0.81),49.46(0.72),50.32(0.76),49.12(0.81),0.30(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",545.20(15.66),50.26(1.43),50.27(1.25),50.95(1.37),50.25(1.43),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",544.60(1.14),50.31(0.10),nan(nan),nan(nan),50.22(0.10),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",565.20(17.43),48.43(1.59),48.27(2.10),49.36(2.02),48.44(1.60),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",538.40(10.21),50.88(0.93),51.78(1.69),52.14(2.18),50.87(0.94),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",545.00(1.73),50.27(0.16),nan(nan),nan(nan),50.18(0.16),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",546.00(11.11),50.18(1.01),49.67(1.83),49.85(1.85),50.18(1.01),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",514.80(11.73),53.03(1.07),53.03(1.58),53.55(1.76),53.03(1.08),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",546.40(1.14),50.15(0.10),nan(nan),nan(nan),50.06(0.10),0.33(0.08)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",545.80(33.22),50.20(3.03),52.42(6.40),51.75(4.39),50.18(3.00),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",521.80(16.27),52.39(1.48),53.88(3.13),52.28(2.13),52.37(1.49),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",544.80(1.48),50.29(0.14),nan(nan),nan(nan),50.20(0.14),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",557.80(8.81),49.11(0.80),49.43(0.72),50.27(0.80),49.10(0.81),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",544.40(18.06),50.33(1.65),50.24(1.24),50.94(1.33),50.33(1.65),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",545.20(1.30),50.26(0.12),nan(nan),nan(nan),50.17(0.12),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",564.40(15.06),48.50(1.37),48.02(1.86),49.03(1.91),48.51(1.38),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",524.80(17.54),52.12(1.60),52.34(2.79),52.27(2.81),52.11(1.61),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",546.20(1.92),50.16(0.18),nan(nan),nan(nan),50.07(0.18),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",445.00(22.54),59.40(2.06),62.31(2.25),59.08(2.00),59.40(2.05),0.29(0.00)
"{'T': 8, 'gamma': 6.25, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",479.00(41.35),56.30(3.77),57.72(6.96),55.76(6.91),56.29(3.75),0.29(0.00)
