,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",1577.20(5.07),50.65(0.16),50.47(0.05),52.08(0.08),50.41(0.16),0.98(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",1576.00(4.90),50.69(0.15),50.47(0.04),52.12(0.07),50.45(0.17),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",1670.20(1.48),47.74(0.05),nan(nan),nan(nan),49.96(0.05),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",1611.40(21.76),49.58(0.68),48.95(0.45),50.76(0.29),49.68(0.69),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",1543.00(18.85),51.72(0.59),51.25(0.31),52.84(0.34),51.46(0.63),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",1668.40(1.95),47.80(0.06),nan(nan),nan(nan),50.01(0.06),1.00(0.04)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",1601.60(6.43),49.89(0.20),49.96(0.30),51.67(0.31),50.02(0.21),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",1666.20(1.30),47.87(0.04),51.46(0.35),53.63(0.16),50.08(0.04),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",1668.20(1.10),47.80(0.03),nan(nan),nan(nan),50.02(0.03),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",1557.40(11.76),51.27(0.37),48.45(0.34),51.42(0.30),49.60(0.31),0.96(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",1554.40(5.59),51.36(0.18),48.45(0.15),51.35(0.16),49.64(0.15),0.96(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",1667.60(0.55),47.82(0.02),nan(nan),nan(nan),50.04(0.02),0.97(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",1576.00(4.69),50.69(0.15),50.52(0.05),52.21(0.13),50.45(0.14),1.00(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",1576.60(5.13),50.67(0.16),50.54(0.03),52.26(0.10),50.44(0.15),0.98(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",1667.60(0.55),47.82(0.02),nan(nan),nan(nan),50.04(0.02),0.98(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",1601.60(15.85),49.89(0.50),49.72(0.21),51.50(0.21),49.94(0.40),0.98(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",1552.60(28.18),51.42(0.88),51.21(0.37),52.78(0.18),51.22(0.91),0.97(0.00)
