,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",7041.60(58.17),62.98(0.31),48.45(1.43),62.66(1.31),51.85(0.19),4.39(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",7039.60(5.13),62.99(0.03),48.79(0.26),62.96(0.22),51.89(0.10),4.32(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.40(2.51),35.18(0.01),nan(nan),nan(nan),49.99(0.02),4.36(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9172.20(16.48),51.78(0.09),49.58(0.20),63.22(0.15),50.07(0.15),4.35(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9217.40(58.07),51.54(0.31),49.40(0.18),63.14(0.17),49.79(0.30),4.31(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12328.00(1.22),35.18(0.01),nan(nan),nan(nan),50.00(0.01),4.35(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9573.00(71.15),49.67(0.37),49.92(0.36),63.41(0.31),49.92(0.41),4.34(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8953.00(104.89),52.93(0.55),49.76(0.65),63.52(0.53),50.39(0.47),4.30(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.01),4.35(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",10926.20(1726.31),42.55(9.08),51.25(0.33),64.02(0.20),50.31(0.50),4.33(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",12111.20(181.62),36.32(0.95),nan(nan),nan(nan),50.09(0.18),4.29(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12331.40(2.88),35.17(0.02),nan(nan),nan(nan),49.99(0.02),4.34(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",10629.60(1793.18),44.11(9.43),50.81(0.84),64.19(0.22),50.35(0.67),4.33(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",11975.40(313.03),37.04(1.65),nan(nan),nan(nan),50.15(0.22),4.29(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12331.40(2.88),35.17(0.02),nan(nan),nan(nan),49.99(0.02),4.33(0.08)
