,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",6762.80(23.02),64.44(0.12),48.44(1.49),62.63(1.11),52.04(0.44),6.34(0.17)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",6748.60(19.71),64.52(0.10),48.54(0.87),62.61(0.57),52.03(0.34),6.11(0.21)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",12329.60(1.34),35.18(0.01),nan(nan),nan(nan),50.00(0.01),5.86(0.60)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",9221.80(84.49),51.52(0.44),48.70(0.29),62.70(0.18),49.61(0.40),5.04(0.03)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",9227.60(50.48),51.48(0.27),48.83(0.49),62.81(0.45),49.58(0.47),4.97(0.16)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",12330.40(0.89),35.17(0.00),nan(nan),nan(nan),50.00(0.01),5.10(0.16)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",9631.00(119.79),49.36(0.63),50.13(0.38),63.70(0.37),49.96(0.33),5.98(0.55)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",8897.20(125.19),53.22(0.66),49.59(0.28),63.47(0.30),50.14(0.25),4.97(0.14)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",12329.80(1.79),35.17(0.01),nan(nan),nan(nan),50.00(0.01),5.09(0.04)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",8816.00(334.26),53.65(1.76),53.50(1.76),65.42(1.27),52.14(0.39),5.95(0.63)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",10117.20(1763.36),46.81(9.27),53.51(2.36),65.39(1.73),51.47(1.30),6.06(0.51)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.00),5.24(0.11)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",8365.60(183.55),56.02(0.97),52.79(1.27),65.15(0.88),52.38(0.50),5.42(0.61)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",8618.00(1155.12),54.69(6.07),51.05(1.79),63.90(1.24),51.83(0.83),6.26(0.21)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",12330.00(0.71),35.17(0.00),nan(nan),nan(nan),50.00(0.00),6.18(0.27)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",9244.20(66.83),51.40(0.35),49.15(0.53),63.17(0.41),49.75(0.33),6.27(0.36)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",9230.00(61.07),51.47(0.32),49.00(0.39),63.04(0.34),49.79(0.40),5.43(0.60)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",12330.80(1.92),35.17(0.01),nan(nan),nan(nan),50.00(0.01),5.08(0.12)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.75(0.56)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.76(0.66)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),6.13(0.31)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.63(0.36)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.73(0.46)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.45(0.25)
"{'T': 8, 'gamma': 15.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",12332.00(0.00),35.16(0.00),nan(nan),nan(nan),50.00(0.00),5.84(0.74)
