,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",2541.60(5.68),44.76(0.12),59.07(1.05),50.12(0.95),53.54(0.11),1.70(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",2534.20(1.30),44.92(0.03),58.48(0.04),50.21(0.07),53.63(0.04),1.70(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",1809.80(1.10),60.67(0.02),nan(nan),nan(nan),50.10(0.03),1.69(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",2194.20(30.41),52.31(0.66),50.61(0.69),44.17(0.30),51.88(0.57),1.72(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",2183.20(55.74),52.55(1.21),50.63(1.20),44.41(0.68),52.05(1.24),1.69(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",1807.00(0.71),60.73(0.02),nan(nan),nan(nan),50.17(0.02),1.69(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",2029.40(18.23),55.89(0.40),46.36(0.67),40.81(0.77),50.78(0.41),1.68(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",2052.60(27.78),55.39(0.60),45.54(0.64),40.07(0.47),50.28(0.39),1.72(0.05)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",1807.00(0.71),60.73(0.02),nan(nan),nan(nan),50.17(0.02),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",1827.00(8.15),60.29(0.18),nan(nan),nan(nan),50.72(0.14),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",1824.40(6.91),60.35(0.15),nan(nan),nan(nan),50.71(0.12),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",1811.00(0.71),60.64(0.02),nan(nan),nan(nan),50.06(0.02),1.72(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",1829.40(4.10),60.24(0.09),nan(nan),nan(nan),50.71(0.06),1.69(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",1826.40(5.13),60.30(0.11),nan(nan),nan(nan),50.73(0.14),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",1810.80(0.45),60.64(0.01),nan(nan),nan(nan),50.07(0.01),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",2177.60(46.09),52.67(1.00),50.89(1.47),44.44(1.47),52.05(1.02),1.72(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",2188.80(32.60),52.43(0.71),50.50(0.89),44.14(0.61),51.87(0.69),1.68(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",1807.40(0.89),60.72(0.02),nan(nan),nan(nan),50.16(0.02),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",1811.00(0.00),60.64(0.00),nan(nan),nan(nan),50.06(0.00),1.73(0.05)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",1811.00(0.00),60.64(0.00),nan(nan),nan(nan),50.06(0.00),1.69(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",1810.60(0.55),60.65(0.01),nan(nan),nan(nan),50.07(0.02),1.70(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",1811.00(0.00),60.64(0.00),nan(nan),nan(nan),50.06(0.00),1.69(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",1811.00(0.00),60.64(0.00),nan(nan),nan(nan),50.06(0.00),1.73(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",1810.60(0.55),60.65(0.01),nan(nan),nan(nan),50.07(0.02),1.69(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",1811.00(0.00),60.64(0.00),nan(nan),nan(nan),50.06(0.00),1.69(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",1811.00(0.00),60.64(0.00),nan(nan),nan(nan),50.06(0.00),1.69(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",1810.60(0.55),60.65(0.01),nan(nan),nan(nan),50.07(0.02),1.72(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",2541.60(5.68),44.76(0.12),59.07(1.05),50.12(0.95),53.54(0.11),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",2534.20(1.30),44.92(0.03),58.48(0.04),50.21(0.07),53.63(0.04),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",1809.80(1.10),60.67(0.02),nan(nan),nan(nan),50.10(0.03),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",2195.80(29.81),52.28(0.65),50.62(0.68),44.18(0.27),51.86(0.56),1.72(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",2182.20(56.18),52.57(1.22),50.67(1.22),44.43(0.70),52.08(1.25),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",1807.00(0.71),60.73(0.02),nan(nan),nan(nan),50.17(0.02),1.69(0.02)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",2028.60(18.57),55.91(0.40),46.37(0.68),40.83(0.78),50.79(0.42),1.69(0.02)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",2052.60(27.78),55.39(0.60),45.54(0.64),40.07(0.47),50.28(0.39),1.70(0.05)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",1807.00(0.71),60.73(0.02),nan(nan),nan(nan),50.17(0.02),1.68(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",1827.20(8.70),60.29(0.19),nan(nan),nan(nan),50.72(0.13),1.68(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",1824.40(7.13),60.35(0.15),nan(nan),nan(nan),50.71(0.12),1.72(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",1811.00(0.71),60.64(0.02),nan(nan),nan(nan),50.06(0.02),1.69(0.01)
