,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",2730.80(5.89),40.65(0.13),63.80(1.02),55.81(1.32),50.56(0.17),1.78(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",2735.60(2.61),40.54(0.06),63.76(0.09),56.00(0.08),50.44(0.04),1.82(0.07)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",1808.20(1.79),60.70(0.04),nan(nan),nan(nan),50.15(0.05),1.79(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",2309.40(13.67),49.81(0.30),49.87(0.47),45.49(0.37),50.01(0.41),1.78(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",2300.40(27.88),50.00(0.61),51.04(0.94),47.16(1.36),50.53(0.64),1.81(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",1808.00(0.71),60.70(0.02),nan(nan),nan(nan),50.15(0.02),1.78(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",2092.20(10.01),54.53(0.22),45.24(0.64),41.73(0.49),50.23(0.31),1.78(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",2082.20(107.25),54.74(2.33),45.16(4.52),41.90(3.82),50.41(0.81),1.78(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",1808.00(1.41),60.70(0.03),nan(nan),nan(nan),50.15(0.04),1.99(0.25)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",2466.40(46.27),46.39(1.01),58.68(1.93),54.12(2.04),50.84(0.83),1.81(0.04)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",2449.40(8.44),46.76(0.18),57.72(0.50),51.72(0.42),51.38(0.32),1.81(0.02)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",1808.00(1.00),60.70(0.02),nan(nan),nan(nan),50.14(0.03),1.80(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",2424.80(19.64),47.30(0.43),55.95(0.43),49.84(0.66),51.06(0.35),1.81(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",2458.40(15.11),46.57(0.33),56.77(0.34),50.79(0.34),50.88(0.30),1.78(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",1808.60(1.14),60.69(0.02),nan(nan),nan(nan),50.13(0.03),1.78(0.01)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",2312.80(22.41),49.73(0.49),50.15(0.72),44.96(0.71),50.05(0.46),1.82(0.08)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",2289.40(29.79),50.24(0.65),50.86(0.80),45.92(0.69),50.70(0.57),1.78(0.00)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",1810.20(1.64),60.66(0.04),nan(nan),nan(nan),50.09(0.05),1.79(0.00)
