,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",498895.40(395.83),50.11(0.04),50.60(0.15),47.96(0.34),50.28(0.05),232.21(2.85)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",498914.00(402.66),50.11(0.04),50.60(0.15),47.96(0.33),50.27(0.06),232.75(2.06)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",499687.80(793.15),50.03(0.08),50.03(0.08),47.48(0.06),50.02(0.08),231.85(0.48)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",499750.00(362.26),50.02(0.04),50.27(0.11),47.69(0.08),50.11(0.06),234.40(1.60)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",482637.20(3428.33),51.74(0.34),58.03(0.34),54.27(0.68),54.01(0.26),237.67(2.16)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",471141.00(1479.30),52.89(0.15),nan(nan),nan(nan),52.21(0.40),238.93(2.06)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",499028.80(480.27),50.10(0.05),50.60(0.13),47.97(0.32),50.26(0.05),237.15(1.14)
"{'T': 8, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",498972.40(552.78),50.10(0.06),50.62(0.14),47.97(0.33),50.27(0.03),234.46(1.83)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",498880.20(416.76),50.11(0.04),50.60(0.15),47.96(0.34),50.28(0.05),235.90(1.33)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",498949.60(353.43),50.11(0.04),50.60(0.15),47.96(0.33),50.27(0.06),234.99(0.76)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",499688.40(793.50),50.03(0.08),50.03(0.08),47.48(0.06),50.02(0.08),238.61(2.28)
"{'T': 8, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",499734.60(346.90),50.03(0.03),50.27(0.11),47.69(0.08),50.11(0.05),238.04(3.65)
