,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",358.00(0.00),37.08(0.00),69.50(0.40),65.07(0.43),49.76(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",358.00(0.00),37.08(0.00),69.94(0.40),65.08(0.23),49.76(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",213.80(1.30),62.43(0.23),nan(nan),nan(nan),50.00(0.20),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",311.20(3.56),45.31(0.63),44.81(1.09),39.15(0.73),45.74(0.90),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",314.00(5.61),44.82(0.99),44.65(1.04),39.84(0.45),45.20(1.17),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",213.60(1.34),62.46(0.24),nan(nan),nan(nan),50.02(0.21),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",236.60(4.56),58.42(0.80),44.85(0.89),39.82(1.10),52.40(0.75),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",282.60(40.82),50.33(7.17),49.52(9.66),43.82(8.67),50.15(1.56),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",210.60(0.89),62.99(0.16),nan(nan),nan(nan),50.43(0.11),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",209.80(1.64),63.13(0.29),nan(nan),nan(nan),50.67(0.25),0.20(0.05)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",210.00(1.87),63.09(0.33),nan(nan),nan(nan),50.62(0.29),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",211.80(0.45),62.78(0.08),nan(nan),nan(nan),50.28(0.10),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",209.80(1.64),63.13(0.29),nan(nan),nan(nan),50.67(0.25),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",210.00(1.87),63.09(0.33),nan(nan),nan(nan),50.62(0.29),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",211.80(0.45),62.78(0.08),nan(nan),nan(nan),50.28(0.10),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",209.20(0.84),63.23(0.15),nan(nan),nan(nan),50.78(0.12),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",209.20(1.64),63.23(0.29),nan(nan),nan(nan),50.74(0.28),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",212.20(0.45),62.71(0.08),nan(nan),nan(nan),50.16(0.06),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
"{'T': 8, 'gamma': 5.0, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",210.00(0.00),63.09(0.00),nan(nan),nan(nan),50.57(0.00),0.16(0.00)
