,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",48.00(0.00),75.76(0.00),45.94(0.81),21.45(0.27),49.67(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",48.00(0.00),75.76(0.00),45.21(0.37),20.99(0.19),49.67(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",49.60(1.14),74.95(0.58),nan(nan),nan(nan),50.46(0.45),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",69.60(4.22),64.85(2.13),44.98(1.03),22.80(2.07),47.21(2.42),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",74.00(3.08),62.63(1.56),45.49(0.95),22.59(0.84),45.75(1.49),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",49.60(1.34),74.95(0.68),nan(nan),nan(nan),50.31(0.30),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",127.40(6.88),35.66(3.47),45.13(3.52),23.42(2.09),47.26(3.08),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",93.60(11.61),52.73(5.86),51.40(4.60),26.09(1.95),48.64(2.90),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",48.40(1.34),75.56(0.68),nan(nan),nan(nan),50.27(0.91),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",50.00(0.00),74.75(0.00),nan(nan),nan(nan),49.89(0.80),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",50.00(0.00),74.75(0.00),nan(nan),nan(nan),49.89(0.80),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",50.00(0.00),74.75(0.00),nan(nan),nan(nan),49.59(0.80),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",48.00(0.00),75.76(0.00),45.94(0.81),21.45(0.27),49.67(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",48.00(0.00),75.76(0.00),45.21(0.37),20.99(0.19),49.67(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",49.60(1.14),74.95(0.58),nan(nan),nan(nan),50.46(0.45),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",70.20(3.70),64.55(1.87),44.99(1.44),22.71(2.01),46.57(1.87),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",74.00(3.08),62.63(1.56),45.47(0.95),22.60(0.86),45.75(1.49),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",49.60(1.34),74.95(0.68),nan(nan),nan(nan),50.31(0.30),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",127.40(6.88),35.66(3.47),45.13(3.52),23.42(2.09),47.26(3.08),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",93.60(11.61),52.73(5.86),51.41(4.59),26.09(1.95),48.64(2.90),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",48.40(1.34),75.56(0.68),nan(nan),nan(nan),50.27(0.91),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",50.00(0.00),74.75(0.00),nan(nan),nan(nan),49.89(0.80),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",50.00(0.00),74.75(0.00),nan(nan),nan(nan),49.89(0.80),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",50.00(0.00),74.75(0.00),nan(nan),nan(nan),49.59(0.80),0.07(0.02)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.08(0.03)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 0.01, 'beta0': 1, 'beta1': 1, 'beta2': 1}",51.00(0.00),74.24(0.00),nan(nan),nan(nan),48.68(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",48.00(0.00),75.76(0.00),45.96(0.79),21.45(0.26),49.67(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",48.00(0.00),75.76(0.00),45.21(0.38),20.99(0.20),49.67(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",49.60(1.14),74.95(0.58),nan(nan),nan(nan),50.46(0.45),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",68.80(2.28),65.25(1.15),46.19(1.71),23.37(1.28),47.91(1.65),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",72.00(5.43),63.64(2.74),46.52(1.68),23.07(1.03),47.00(2.65),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",49.60(1.34),74.95(0.68),nan(nan),nan(nan),50.31(0.30),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",128.00(5.96),35.35(3.01),44.47(3.46),23.05(2.12),46.92(3.29),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",93.20(11.17),52.93(5.64),51.52(4.27),26.07(1.84),48.62(2.64),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",48.40(1.34),75.56(0.68),nan(nan),nan(nan),50.27(0.91),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",49.20(0.45),75.15(0.23),nan(nan),nan(nan),49.86(0.87),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",49.00(0.00),75.25(0.00),nan(nan),nan(nan),49.34(0.00),0.06(0.00)
"{'T': 8, 'gamma': 4.545, 'alpha': 1, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",49.20(0.45),75.15(0.23),nan(nan),nan(nan),49.86(0.87),0.06(0.00)
