,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,9.17
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,8.96
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,8.96
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,9.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,8.95
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,8.93
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.93
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,9.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.95
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.93
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,9.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.96
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,8.92
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,8.94
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,9.09
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,28.08,63.42,50.00,8.89
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,28.08,63.42,50.00,8.89
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,28.08,63.42,50.00,9.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 123}",7844.00,75.91,56.26,80.73,50.01,6.58
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 123}",7844.00,75.91,56.26,80.73,50.01,6.57
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 123}",7844.00,75.91,56.26,80.73,50.01,6.57
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,8.96
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,9.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,8.96
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,8.94
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,8.98
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,9.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.94
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.94
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,9.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.93
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.93
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.95
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,9.08
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,8.94
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,8.91
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,28.08,63.42,50.00,9.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,28.08,63.42,50.00,8.88
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,28.08,63.42,50.00,8.91
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 123}",7844.00,75.91,56.26,80.73,50.01,6.60
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 123}",7844.00,75.91,56.26,80.73,50.01,6.59
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 123}",7844.00,75.91,56.26,80.73,50.01,6.76
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,9.01
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,9.00
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 123}",9754.00,70.04,41.57,68.31,66.43,9.19
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,9.00
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,9.01
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 123}",24719.00,24.08,26.42,63.09,50.00,8.99
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,9.15
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.97
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.97
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.95
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,9.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.42,63.09,50.00,8.96
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,8.95
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,9.09
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 123}",24720.00,24.08,26.39,63.07,50.00,8.94
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 123}",24720.00,24.08,28.08,63.42,50.00,8.93
