,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 8}",272.00,64.58,58.04,43.48,49.86,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 8}",272.00,64.58,58.04,43.48,49.86,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 8}",272.00,64.58,58.04,43.48,49.86,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 8}",272.00,64.58,58.04,43.48,49.86,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 8}",272.00,64.58,58.04,43.48,49.86,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 8}",272.00,64.58,58.04,43.48,49.86,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 8}",271.00,64.71,58.16,43.49,49.70,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 8}",271.00,64.71,58.16,43.49,49.70,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 8}",271.00,64.71,58.16,43.49,49.70,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 8}",268.00,65.10,58.35,43.82,50.00,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 8}",268.00,65.10,58.35,43.82,50.00,0.13
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 8}",268.00,65.10,58.35,43.82,50.00,0.13
