,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 47}",12249.00,87.96,49.91,11.21,50.00,21.16
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 47}",12249.00,87.96,49.91,11.21,50.00,21.26
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 47}",12249.00,87.96,49.91,11.21,50.00,21.05
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 47}",11363.00,88.83,49.94,11.22,50.00,21.26
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 47}",11363.00,88.83,49.94,11.22,50.00,21.19
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 47}",11363.00,88.83,49.94,11.22,50.00,21.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 47}",11357.00,88.84,49.94,11.22,50.00,21.23
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 47}",11357.00,88.84,49.94,11.22,50.00,21.22
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 47}",11357.00,88.84,49.94,11.22,50.00,21.02
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 47}",11357.00,88.84,49.95,11.21,50.00,21.15
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 47}",11357.00,88.84,49.95,11.21,50.00,21.18
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 47}",11357.00,88.84,49.95,11.21,50.00,21.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 47}",11357.00,88.84,49.95,11.22,50.00,21.19
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 47}",11357.00,88.84,49.95,11.22,50.00,21.02
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 47}",11357.00,88.84,49.95,11.22,50.00,21.15
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 47}",11371.00,88.83,49.97,11.18,50.00,21.16
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 47}",11371.00,88.83,49.97,11.18,50.00,20.96
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 47}",11371.00,88.83,49.97,11.18,50.00,21.18
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 47}",15971.00,84.31,49.09,11.02,50.11,16.47
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 47}",15971.00,84.31,49.09,11.02,50.11,16.68
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 47}",15971.00,84.31,49.09,11.02,50.11,16.51
