,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,181.97
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,181.60
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,181.54
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",502579.00,49.74,49.60,52.53,50.31,182.31
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 21}",502579.00,49.74,49.60,52.53,50.31,182.47
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 21}",502579.00,49.74,49.60,52.53,50.31,182.69
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 21}",501853.00,49.81,49.59,52.53,50.30,183.35
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 21}",501853.00,49.81,49.59,52.53,50.30,182.63
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 21}",501853.00,49.81,49.59,52.53,50.30,182.65
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 21}",501552.00,49.84,49.49,52.45,50.27,182.59
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 21}",501552.00,49.84,49.49,52.45,50.27,182.70
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 21}",501552.00,49.84,49.49,52.45,50.27,183.06
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 21}",501449.00,49.86,49.70,52.60,50.24,182.60
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 21}",501449.00,49.86,49.70,52.60,50.24,182.94
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 21}",501449.00,49.86,49.70,52.60,50.24,182.84
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 21}",509683.00,49.03,49.54,52.46,50.16,182.88
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 21}",509683.00,49.03,49.54,52.46,50.16,182.87
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 21}",509683.00,49.03,49.54,52.46,50.16,183.00
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 21}",468792.00,53.12,51.51,54.30,50.64,145.53
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",468792.00,53.12,51.51,54.30,50.64,145.18
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 21}",468792.00,53.12,51.51,54.30,50.64,145.55
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,182.94
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,183.04
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,182.93
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",502579.00,49.74,49.60,52.53,50.31,183.16
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 21}",502579.00,49.74,49.60,52.53,50.31,182.74
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 21}",502579.00,49.74,49.60,52.53,50.31,183.26
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 21}",501853.00,49.81,49.59,52.53,50.30,183.67
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 21}",501853.00,49.81,49.59,52.53,50.30,183.00
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 21}",501853.00,49.81,49.59,52.53,50.30,183.40
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 21}",501552.00,49.84,49.49,52.45,50.27,183.24
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 21}",501552.00,49.84,49.49,52.45,50.27,183.29
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 21}",501552.00,49.84,49.49,52.45,50.27,183.93
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 21}",501449.00,49.86,49.70,52.60,50.24,182.93
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 21}",501449.00,49.86,49.70,52.60,50.24,183.13
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 21}",501449.00,49.86,49.70,52.60,50.24,183.54
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 21}",509683.00,49.03,49.54,52.46,50.16,183.38
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 21}",509683.00,49.03,49.54,52.46,50.16,183.16
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 21}",509683.00,49.03,49.54,52.46,50.16,183.20
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 21}",468792.00,53.12,51.51,54.30,50.64,145.27
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 21}",468792.00,53.12,51.51,54.30,50.64,146.06
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 21}",468792.00,53.12,51.51,54.30,50.64,145.52
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,184.63
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,184.73
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 21}",502684.00,49.73,49.60,52.53,50.31,184.87
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 21}",502579.00,49.74,49.60,52.53,50.31,184.52
