,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,99.01
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,99.35
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,98.92
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,99.06
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,99.02
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,99.43
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.31
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.77
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.45
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,96.85
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,96.47
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,97.14
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,94.87
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,95.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,94.91
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,92.89
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,93.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,92.30
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 7500}",7198.00,71.21,47.66,48.79,71.21,22.52
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 7500}",7198.00,71.21,47.66,48.79,71.21,22.55
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 7500}",7198.00,71.21,47.66,48.79,71.21,22.45
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,98.15
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,98.70
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,98.40
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.34
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.20
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.37
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.25
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.75
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,97.71
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,96.23
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,96.80
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,96.23
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,94.68
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,95.61
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,94.70
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,92.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,92.36
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,92.29
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 7500}",7198.00,71.21,47.66,48.79,71.21,22.44
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 7500}",7198.00,71.21,47.66,48.79,71.21,22.59
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 7500}",7198.00,71.21,47.66,48.79,71.21,22.66
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,98.49
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,97.93
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 7500}",12501.00,50.00,31.24,38.60,50.00,97.92
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,97.81
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.56
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,98.06
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,97.46
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,97.25
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.24,38.60,50.00,97.03
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,95.88
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,95.21
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 7500}",12500.00,50.00,31.22,38.59,50.00,95.60
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,93.99
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,94.49
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 7500}",12499.00,50.00,31.20,38.57,50.00,93.63
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,91.31
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 7500}",12500.00,50.00,31.57,38.71,50.00,91.17
