,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.06
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.05
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.06
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.05
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.05
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.06
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 34}",198.00,43.59,52.71,64.67,45.87,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 34}",211.00,39.89,53.64,65.61,44.38,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 34}",207.00,41.03,53.95,65.42,45.62,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 34}",206.00,41.31,51.32,63.26,45.32,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 34}",189.00,46.15,52.99,61.78,50.14,0.07
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.06
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.06
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 34}",115.00,67.24,64.99,76.53,56.11,0.06
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 34}",135.00,61.54,56.46,66.14,58.48,0.07
