,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 24}",419.00,61.77,52.04,51.47,61.81,0.21
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 24}",419.00,61.77,52.04,51.47,61.81,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 24}",419.00,61.77,52.04,51.47,61.81,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 24}",419.00,61.77,52.22,51.66,61.81,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 24}",419.00,61.77,52.22,51.66,61.81,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 24}",419.00,61.77,52.22,51.66,61.81,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 24}",415.00,62.14,52.31,51.77,62.17,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 24}",415.00,62.14,52.31,51.77,62.17,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 24}",415.00,62.14,52.31,51.77,62.17,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 24}",451.00,58.85,54.53,54.27,58.91,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 24}",451.00,58.85,54.53,54.27,58.91,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 24}",451.00,58.85,54.53,54.27,58.91,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 24}",458.00,58.21,53.69,53.47,58.26,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 24}",458.00,58.21,53.69,53.47,58.26,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 24}",458.00,58.21,53.69,53.47,58.26,0.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 24}",548.00,50.00,52.21,53.10,50.05,0.20
