,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 7500}",1366.00,77.40,5.96,17.91,63.96,20.29
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 7500}",1366.00,77.40,5.96,17.91,63.96,20.05
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 7500}",1366.00,77.40,5.96,17.91,63.96,20.18
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 7500}",1894.00,68.67,6.03,17.92,50.03,19.99
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 7500}",1894.00,68.67,6.03,17.92,50.03,19.80
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 7500}",1894.00,68.67,6.03,17.92,50.03,20.04
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 7500}",1895.00,68.65,6.03,17.92,50.00,19.78
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 7500}",1895.00,68.65,6.03,17.92,50.00,19.94
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 7500}",1895.00,68.65,6.03,17.92,50.00,19.88
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 7500}",1895.00,68.65,6.03,17.92,50.00,19.58
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 7500}",1895.00,68.65,6.03,17.92,50.00,19.80
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 7500}",1895.00,68.65,6.03,17.92,50.00,19.46
