,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 8}",500892.00,49.91,48.39,44.24,49.68,167.66
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 8}",500892.00,49.91,48.39,44.24,49.68,167.50
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 8}",500892.00,49.91,48.39,44.24,49.68,167.95
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 8}",500892.00,49.91,48.39,44.24,49.68,167.95
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 8}",500892.00,49.91,48.39,44.24,49.68,168.05
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 8}",500892.00,49.91,48.39,44.24,49.68,168.31
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 8}",500339.00,49.97,48.38,44.24,49.75,168.41
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 8}",500339.00,49.97,48.38,44.24,49.75,168.05
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 8}",500339.00,49.97,48.38,44.24,49.75,168.78
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 8}",498078.00,50.19,49.23,45.40,49.88,169.49
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 8}",498078.00,50.19,49.23,45.40,49.88,167.80
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 8}",498078.00,50.19,49.23,45.40,49.88,168.02
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 8}",495573.00,50.44,48.84,44.66,49.86,168.20
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 8}",495573.00,50.44,48.84,44.66,49.86,168.70
