,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 9}",283.00,59.51,74.57,61.37,50.62,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 9}",259.00,62.95,73.29,61.02,50.20,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 0.01, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.5, 'reg': 1, 'n_feat0': 9}",244.00,65.09,71.35,60.10,50.56,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 0.01, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.7, 'reg': 1, 'n_feat0': 9}",243.00,65.24,65.75,55.88,49.88,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 0.01, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 0.9, 'reg': 1, 'n_feat0': 9}",241.00,65.52,56.67,48.08,50.00,0.12
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.0001, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 0.01, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.0001, 'C_bar': 1, 'B': 1, 'reg': 1, 'n_feat0': 9}",458.00,34.48,82.77,80.94,49.61,0.09
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 9}",257.00,63.23,76.48,66.82,50.22,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 9}",257.00,63.23,76.48,66.82,50.22,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 9}",257.00,63.23,76.48,66.82,50.22,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 9}",257.00,63.23,76.48,66.82,50.22,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 9}",257.00,63.23,76.48,66.82,50.22,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 9}",257.00,63.23,76.48,66.82,50.22,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 9}",243.00,65.24,75.98,67.19,50.96,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 9}",243.00,65.24,75.98,67.19,50.96,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 9}",243.00,65.24,75.98,67.19,50.96,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 9}",243.00,65.24,74.48,65.91,50.08,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 9}",243.00,65.24,74.48,65.91,50.08,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 9}",243.00,65.24,74.48,65.91,50.08,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 9}",241.00,65.52,68.62,60.87,50.10,0.12
"{'C': 0.01, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 9}",241.00,65.52,68.62,60.87,50.10,0.12
